rental_id,member_id,workstation_id,session_start,session_end,duration_hours,base_hourly_rate,member_tier_applied,tier_discount_pct,final_hourly_rate,gross_rental_amount,points_redeemed,points_credit_value,net_amount_paid,points_accrued,payment_method
SESS-20260704-1106-0005,M-1198,PC-077,2026-07-04T01:30:00+08:00,2026-07-04T03:30:00+08:00,2.00,50.00,Gold,0.20,40.00,80.00,0,0.00,80.00,12,GCash
SESS-20260704-3003-0076,M-1190,PC-085,2026-07-04T02:05:00+08:00,2026-07-04T04:05:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,Credit Card
SESS-20260704-1713-0246,M-1009,PC-095,2026-07-04T02:50:00+08:00,2026-07-04T10:50:00+08:00,8.00,50.00,Standard,0.00,50.00,400.00,0,0.00,400.00,40,GCash
SESS-20260704-3063-0143,M-1511,PC-105,2026-07-04T04:30:00+08:00,2026-07-04T06:30:00+08:00,2.00,80.00,Silver,0.10,72.00,144.00,0,0.00,144.00,18,Maya
SESS-20260704-4408-0212,M-1306,PC-154,2026-07-04T04:50:00+08:00,2026-07-04T05:50:00+08:00,1.00,120.00,Silver,0.10,108.00,108.00,0,0.00,108.00,13,GCash
SESS-20260704-1979-0040,M-1680,PC-068,2026-07-04T05:00:00+08:00,2026-07-04T07:00:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,Maya
SESS-20260704-9176-0189,M-1730,PC-072,2026-07-04T05:00:00+08:00,2026-07-04T07:00:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,Maya
SESS-20260704-2765-0046,M-1777,PC-031,2026-07-04T05:15:00+08:00,2026-07-04T08:15:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,0,0.00,135.00,16,GCash
SESS-20260704-2764-0045,M-1191,PC-055,2026-07-04T05:45:00+08:00,2026-07-04T07:45:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,Cash
SESS-20260704-9380-0351,M-1789,PC-082,2026-07-04T06:45:00+08:00,2026-07-04T07:45:00+08:00,1.00,50.00,Standard,0.00,50.00,50.00,0,0.00,50.00,5,Cash
SESS-20260704-1923-0269,M-1416,PC-024,2026-07-04T07:30:00+08:00,2026-07-04T08:30:00+08:00,1.00,50.00,Gold,0.20,40.00,40.00,0,0.00,40.00,6,GCash
SESS-20260704-4029-0085,M-1289,PC-057,2026-07-04T08:00:00+08:00,2026-07-04T10:00:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,Maya
SESS-20260704-6835-0091,M-1049,PC-114,2026-07-04T08:30:00+08:00,2026-07-04T10:30:00+08:00,2.00,80.00,Standard,0.00,80.00,160.00,0,0.00,160.00,16,GCash
SESS-20260704-6115-0271,M-1421,PC-024,2026-07-04T08:35:00+08:00,2026-07-04T10:35:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,GCash
SESS-20260704-7057-0033,M-1439,PC-121,2026-07-04T08:45:00+08:00,2026-07-04T09:45:00+08:00,1.00,80.00,Standard,0.00,80.00,80.00,0,0.00,80.00,8,Maya
SESS-20260704-2429-0153,M-1198,PC-132,2026-07-04T09:00:00+08:00,2026-07-04T11:00:00+08:00,2.00,80.00,Gold,0.20,64.00,128.00,0,0.00,128.00,19,Cash
SESS-20260704-8107-0196,M-1545,PC-117,2026-07-04T09:00:00+08:00,2026-07-04T12:00:00+08:00,3.00,80.00,Standard,0.00,80.00,240.00,100,50.00,190.00,19,GCash
SESS-20260704-7385-0116,M-1753,PC-009,2026-07-04T09:15:00+08:00,2026-07-04T17:15:00+08:00,8.00,50.00,Standard,0.00,50.00,400.00,0,0.00,400.00,40,GCash
SESS-20260704-4371-0162,M-1747,PC-026,2026-07-04T09:30:00+08:00,2026-07-04T11:30:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,Cash
SESS-20260704-4526-0296,M-1258,PC-085,2026-07-04T09:30:00+08:00,2026-07-04T10:30:00+08:00,1.00,50.00,Standard,0.00,50.00,50.00,0,0.00,50.00,5,Cash
SESS-20260704-7328-0063,M-1762,PC-168,2026-07-04T10:00:00+08:00,2026-07-04T12:00:00+08:00,2.00,120.00,Standard,0.00,120.00,240.00,100,50.00,190.00,19,Cash
SESS-20260704-3666-0218,M-1782,PC-096,2026-07-04T10:00:00+08:00,2026-07-04T12:00:00+08:00,2.00,50.00,Gold,0.20,40.00,80.00,0,0.00,80.00,12,Cash
SESS-20260704-2813-0068,M-1111,PC-170,2026-07-04T10:15:00+08:00,2026-07-04T13:15:00+08:00,3.00,120.00,Standard,0.00,120.00,360.00,0,0.00,360.00,36,GCash
SESS-20260704-3811-0080,M-1538,PC-051,2026-07-04T10:15:00+08:00,2026-07-04T12:15:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,GCash
SESS-20260704-2404-0093,M-1735,PC-073,2026-07-04T10:15:00+08:00,2026-07-04T12:15:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,Cash
SESS-20260704-9416-0227,M-1522,PC-023,2026-07-04T10:15:00+08:00,2026-07-04T11:15:00+08:00,1.00,50.00,Standard,0.00,50.00,50.00,0,0.00,50.00,5,Maya
SESS-20260704-5492-0044,M-1534,PC-008,2026-07-04T10:30:00+08:00,2026-07-04T15:30:00+08:00,5.00,50.00,Silver,0.10,45.00,225.00,100,50.00,175.00,21,Cash
SESS-20260704-4208-0108,M-1216,PC-165,2026-07-04T10:30:00+08:00,2026-07-04T12:30:00+08:00,2.00,120.00,Gold,0.20,96.00,192.00,100,50.00,142.00,21,Cash
SESS-20260704-9489-0088,M-1667,PC-110,2026-07-04T10:45:00+08:00,2026-07-04T12:45:00+08:00,2.00,80.00,Silver,0.10,72.00,144.00,0,0.00,144.00,18,GCash
SESS-20260704-6886-0024,M-1454,PC-113,2026-07-04T11:00:00+08:00,2026-07-04T13:00:00+08:00,2.00,80.00,Gold,0.20,64.00,128.00,200,100.00,28.00,4,GCash
