rental_id,member_id,workstation_id,session_start,session_end,duration_hours,base_hourly_rate,member_tier_applied,tier_discount_pct,final_hourly_rate,gross_rental_amount,points_redeemed,points_credit_value,net_amount_paid,points_accrued,payment_method
SESS-20260717-5590-0016,M-1865,PC-120,2026-07-17T01:20:00+08:00,2026-07-17T04:20:00+08:00,3.00,80.00,Standard,0.00,80.00,240.00,0,0.00,240.00,24,Cash
SESS-20260717-4271-0041,M-1108,PC-010,2026-07-17T02:00:00+08:00,2026-07-17T04:00:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,Maya
SESS-20260717-5613-0119,M-1560,PC-065,2026-07-17T02:45:00+08:00,2026-07-17T07:45:00+08:00,5.00,50.00,Standard,0.00,50.00,250.00,0,0.00,250.00,25,Credit Card
SESS-20260717-2816-0226,M-2032,PC-053,2026-07-17T03:45:00+08:00,2026-07-17T06:45:00+08:00,3.00,50.00,Standard,0.00,50.00,150.00,0,0.00,150.00,15,Cash
SESS-20260717-5043-0042,M-2092,PC-072,2026-07-17T04:00:00+08:00,2026-07-17T06:00:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,GCash
SESS-20260717-5567-0052,M-1477,PC-148,2026-07-17T04:00:00+08:00,2026-07-17T06:00:00+08:00,2.00,80.00,Silver,0.10,72.00,144.00,200,100.00,44.00,5,Maya
SESS-20260717-2490-0348,M-1771,PC-080,2026-07-17T05:00:00+08:00,2026-07-17T08:00:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,0,0.00,135.00,16,Cash
SESS-20260717-5506-0036,M-2020,PC-163,2026-07-17T05:45:00+08:00,2026-07-17T06:45:00+08:00,1.00,120.00,Standard,0.00,120.00,120.00,0,0.00,120.00,12,Credit Card
SESS-20260717-9016-0038,M-1544,PC-123,2026-07-17T06:15:00+08:00,2026-07-17T11:15:00+08:00,5.00,80.00,Silver,0.10,72.00,360.00,200,100.00,260.00,32,Maya
SESS-20260717-5821-0029,M-1471,PC-144,2026-07-17T06:45:00+08:00,2026-07-17T07:45:00+08:00,1.00,80.00,Standard,0.00,80.00,80.00,0,0.00,80.00,8,Maya
SESS-20260717-4886-0039,M-1399,PC-039,2026-07-17T07:00:00+08:00,2026-07-17T09:00:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,GCash
SESS-20260717-2713-0045,M-1761,PC-034,2026-07-17T07:00:00+08:00,2026-07-17T10:00:00+08:00,3.00,50.00,Standard,0.00,50.00,150.00,0,0.00,150.00,15,Cash
SESS-20260717-4560-0065,M-1827,PC-150,2026-07-17T07:15:00+08:00,2026-07-17T08:15:00+08:00,1.00,80.00,Silver,0.10,72.00,72.00,0,0.00,72.00,9,Maya
SESS-20260717-7946-0320,M-1569,PC-125,2026-07-17T07:45:00+08:00,2026-07-17T12:45:00+08:00,5.00,80.00,Silver,0.10,72.00,360.00,100,50.00,310.00,38,GCash
SESS-20260717-2312-0071,M-1495,PC-171,2026-07-17T08:00:00+08:00,2026-07-17T11:00:00+08:00,3.00,120.00,Silver,0.10,108.00,324.00,0,0.00,324.00,40,Credit Card
