purchase_id,member_id,rental_id,total_amount,points_accrued,payment_method,purchased_at
ORD-20260828-5670-0002,M-1593,SESS-20260828-9425-0121,65.00,8,Maya,2026-08-28T01:18:16+08:00
ORD-20260828-6439-0158,M-1058,SESS-20260828-4096-0009,250.00,31,GCash,2026-08-28T02:03:23+08:00
ORD-20260828-3268-0017,M-1009,SESS-20260828-9017-0079,30.00,3,Cash,2026-08-28T03:35:31+08:00
ORD-20260828-3243-0176,M-1924,SESS-20260828-4168-0058,65.00,6,GCash,2026-08-28T03:45:07+08:00
ORD-20260828-2699-0242,M-1870,SESS-20260828-9891-0304,75.00,9,Maya,2026-08-28T04:22:53+08:00
ORD-20260828-6830-0079,M-2115,SESS-20260828-9757-0210,385.00,48,Cash,2026-08-28T05:35:27+08:00
ORD-20260828-4346-0070,M-1489,SESS-20260828-5128-0035,150.00,18,GCash,2026-08-28T07:37:03+08:00
ORD-20260828-4271-0160,M-1787,SESS-20260828-6294-0140,90.00,11,Cash,2026-08-28T07:40:30+08:00
ORD-20260828-4531-0137,M-2157,SESS-20260828-8498-0421,115.00,11,Cash,2026-08-28T08:48:56+08:00
ORD-20260828-4103-0338,M-1814,,270.00,33,GCash,2026-08-28T09:04:00+08:00
ORD-20260828-7105-0309,M-1589,,155.00,19,GCash,2026-08-28T09:09:00+08:00
ORD-20260828-6688-0133,M-1723,SESS-20260828-8187-0003,240.00,30,GCash,2026-08-28T09:11:38+08:00
ORD-20260828-6845-0281,M-1497,,120.00,15,GCash,2026-08-28T09:15:00+08:00
ORD-20260828-9181-0306,M-1772,,65.00,8,GCash,2026-08-28T09:17:00+08:00
ORD-20260828-5540-0171,M-1560,SESS-20260828-9136-0285,90.00,11,GCash,2026-08-28T09:53:11+08:00
ORD-20260828-3375-0342,M-1923,,120.00,12,Maya,2026-08-28T09:59:00+08:00
ORD-20260828-8025-0274,M-1861,,90.00,9,GCash,2026-08-28T10:01:00+08:00
ORD-20260828-5445-0292,M-1066,,75.00,9,GCash,2026-08-28T10:01:00+08:00
ORD-20260828-3803-0216,M-1493,SESS-20260828-5560-0160,510.00,63,GCash,2026-08-28T10:02:37+08:00
ORD-20260828-4430-0299,M-1335,,85.00,10,Maya,2026-08-28T10:03:00+08:00
ORD-20260828-5682-0323,M-1191,,75.00,9,Cash,2026-08-28T10:13:00+08:00
ORD-20260828-1191-0143,M-1579,SESS-20260828-1169-0019,85.00,12,GCash,2026-08-28T10:19:39+08:00
ORD-20260828-4288-0289,M-1963,,205.00,25,GCash,2026-08-28T10:26:00+08:00
ORD-20260828-6075-0308,M-1456,,180.00,22,Credit Card,2026-08-28T10:39:00+08:00
ORD-20260828-3761-0230,M-1447,SESS-20260828-9773-0368,235.00,29,GCash,2026-08-28T10:47:00+08:00
ORD-20260828-8026-0304,M-1163,,65.00,8,Maya,2026-08-28T10:48:00+08:00
