ledger_id,member_id,source_reference_id,transaction_type,points_delta,resulting_balance,created_at
f6bce964-b788-4ca9-8cbc-01eb147dba85,M-2144,SESS-20260805-6258-0000,RENTAL_ACCRUAL,8,41,2026-08-06T00:30:00+08:00
c3b9e4a8-8b3e-4acb-bc02-a0082d5cbc81,M-1338,SESS-20260805-9469-0001,RENTAL_ACCRUAL,11,439,2026-08-05T21:15:00+08:00
598256fb-7d79-4ced-be80-b4e79a0adab4,M-1322,SESS-20260805-8939-0002,RENTAL_ACCRUAL,40,277,2026-08-05T16:45:00+08:00
ebd0a3d0-9f86-45c5-ad14-2f2663bdbfa5,M-2064,SESS-20260805-1702-0003,RENTAL_REDEMPTION,-100,149,2026-08-05T22:45:00+08:00
524580c2-9a2c-4708-a66f-61766e27b308,M-2064,SESS-20260805-1702-0003,RENTAL_ACCRUAL,34,183,2026-08-06T01:45:00+08:00
9c19610d-c4d4-423a-9ed4-758a42b8b29b,M-1494,SESS-20260805-1166-0004,RENTAL_ACCRUAL,11,391,2026-08-05T18:15:00+08:00
48511151-8ca5-43b9-9714-2c18aac710c3,M-1407,SESS-20260805-2070-0005,RENTAL_ACCRUAL,45,550,2026-08-05T16:30:00+08:00
d0c94dca-0800-48a6-a174-f89dc71f1c82,M-1396,SESS-20260805-4595-0006,RENTAL_ACCRUAL,40,274,2026-08-05T18:45:00+08:00
b8450414-8fe8-4dea-88c7-ffffa63b1504,M-1062,SESS-20260805-5054-0007,RENTAL_ACCRUAL,11,312,2026-08-05T20:45:00+08:00
920bd0c0-86b7-4d98-8044-bedd32d66fdf,M-1246,SESS-20260805-2870-0008,RENTAL_ACCRUAL,11,192,2026-08-05T14:00:00+08:00
66f5b8b5-f31a-4f05-91a5-58af26718e7c,M-1572,SESS-20260805-6728-0009,RENTAL_ACCRUAL,18,403,2026-08-05T20:15:00+08:00
4bf6b6a9-536c-47d4-a4ea-3a602452ade5,M-1380,SESS-20260805-4197-0010,RENTAL_ACCRUAL,12,292,2026-08-05T15:45:00+08:00
9ffd89a9-2161-43a8-b3f7-1867d7cf5edf,M-1570,SESS-20260805-7291-0011,RENTAL_ACCRUAL,9,784,2026-08-05T14:45:00+08:00
3fc52c34-a99e-484f-a16e-8c702f834abf,M-1776,SESS-20260805-7546-0012,RENTAL_ACCRUAL,5,145,2026-08-05T16:00:00+08:00
c2e1d7e7-8524-4f00-b9f4-d49657e1903a,M-2146,SESS-20260805-1513-0013,RENTAL_ACCRUAL,15,197,2026-08-05T21:15:00+08:00
22197030-4138-49c8-9e07-01424c24244c,M-1073,SESS-20260805-2212-0014,RENTAL_ACCRUAL,27,207,2026-08-06T01:30:00+08:00
ad9eded1-e0ab-4298-999a-ea8ba027e178,M-1736,SESS-20260805-6009-0015,RENTAL_ACCRUAL,18,49,2026-08-05T18:30:00+08:00
136e05e1-fd7f-4fcc-874b-f4e3b1863307,M-1880,SESS-20260805-9976-0016,RENTAL_ACCRUAL,8,48,2026-08-05T21:15:00+08:00
082c124d-c7b2-404b-958d-2b1584e87b80,M-1495,SESS-20260805-3386-0017,RENTAL_ACCRUAL,18,88,2026-08-05T17:30:00+08:00
500718f0-512c-4bbd-b59f-aef7d7a79f6e,M-1816,SESS-20260805-4340-0018,RENTAL_ACCRUAL,45,149,2026-08-06T06:00:00+08:00
