purchase_id,member_id,rental_id,total_amount,points_accrued,payment_method,purchased_at
ORD-20260810-2525-0020,M-1396,SESS-20260810-6469-0227,65.00,8,GCash,2026-08-10T03:58:43+08:00
ORD-20260810-5964-0158,M-1334,SESS-20260810-8745-0252,75.00,9,Cash,2026-08-10T05:04:27+08:00
ORD-20260810-1281-0017,M-1008,SESS-20260810-4214-0013,90.00,11,GCash,2026-08-10T05:12:48+08:00
ORD-20260810-9227-0048,M-1314,SESS-20260810-2164-0239,90.00,11,GCash,2026-08-10T06:10:51+08:00
ORD-20260810-8807-0057,M-1264,SESS-20260810-2414-0019,65.00,8,Cash,2026-08-10T06:32:54+08:00
ORD-20260810-9352-0099,M-1020,SESS-20260810-5931-0151,60.00,7,GCash,2026-08-10T08:59:06+08:00
ORD-20260810-9763-0301,M-2048,,270.00,27,GCash,2026-08-10T09:04:00+08:00
ORD-20260810-2310-0241,M-1456,,185.00,23,Cash,2026-08-10T09:11:00+08:00
ORD-20260810-2261-0291,M-2016,,130.00,16,Cash,2026-08-10T09:11:00+08:00
ORD-20260810-9493-0259,M-1346,,90.00,11,GCash,2026-08-10T09:16:00+08:00
ORD-20260810-4541-0229,M-1703,,300.00,37,Maya,2026-08-10T09:18:00+08:00
ORD-20260810-4914-0252,M-1805,,90.00,11,Credit Card,2026-08-10T09:24:00+08:00
ORD-20260810-3016-0237,M-2183,,260.00,26,Cash,2026-08-10T09:33:00+08:00
ORD-20260810-2380-0145,M-1311,SESS-20260810-1473-0045,445.00,55,Credit Card,2026-08-10T09:37:05+08:00
ORD-20260810-2077-0182,M-1443,SESS-20260810-8985-0195,185.00,23,Maya,2026-08-10T09:46:05+08:00
ORD-20260810-2355-0085,M-1795,SESS-20260810-3532-0120,65.00,8,GCash,2026-08-10T10:10:11+08:00
ORD-20260810-5705-0243,M-1694,,120.00,15,GCash,2026-08-10T10:11:00+08:00
ORD-20260810-5350-0235,M-1333,,85.00,10,Maya,2026-08-10T10:12:00+08:00
ORD-20260810-7670-0288,M-1118,,120.00,15,GCash,2026-08-10T10:22:00+08:00
ORD-20260810-3284-0276,M-1569,,570.00,71,GCash,2026-08-10T10:23:00+08:00
ORD-20260810-6049-0286,M-2040,,90.00,9,GCash,2026-08-10T10:28:00+08:00
ORD-20260810-4917-0071,M-1547,SESS-20260810-7387-0058,75.00,9,Maya,2026-08-10T10:35:20+08:00
ORD-20260810-7229-0244,M-1822,,180.00,22,GCash,2026-08-10T10:38:00+08:00
ORD-20260810-1185-0026,M-1597,SESS-20260810-9683-0155,90.00,11,GCash,2026-08-10T10:39:25+08:00
ORD-20260810-8760-0262,M-1109,,255.00,31,GCash,2026-08-10T10:50:00+08:00
ORD-20260810-7192-0206,M-1481,SESS-20260810-3860-0029,155.00,19,Credit Card,2026-08-10T11:00:55+08:00
ORD-20260810-2147-0225,M-1793,SESS-20260810-2967-0015,65.00,9,Credit Card,2026-08-10T11:02:36+08:00
ORD-20260810-7463-0220,M-1160,SESS-20260810-7942-0088,230.00,28,GCash,2026-08-10T11:02:50+08:00
ORD-20260810-8570-0072,M-1722,SESS-20260810-5967-0214,30.00,3,Maya,2026-08-10T11:05:08+08:00
ORD-20260810-3804-0257,M-1208,,120.00,18,Maya,2026-08-10T11:06:00+08:00
ORD-20260810-5902-0169,M-1447,SESS-20260810-5878-0014,85.00,10,GCash,2026-08-10T11:06:46+08:00
ORD-20260810-4109-0239,M-1160,,120.00,15,Credit Card,2026-08-10T11:07:00+08:00
ORD-20260810-5806-0246,M-1878,,90.00,11,Cash,2026-08-10T11:08:00+08:00
ORD-20260810-3979-0019,M-1245,SESS-20260810-2590-0040,85.00,10,Maya,2026-08-10T11:09:16+08:00
ORD-20260810-1975-0260,M-1803,,65.00,8,GCash,2026-08-10T11:11:00+08:00
