ledger_id,member_id,source_reference_id,transaction_type,points_delta,resulting_balance,created_at
f7ebd0e4-e096-48cd-9b02-9c31f9279c28,M-1210,SESS-20260825-2081-0000,RENTAL_ACCRUAL,48,1532,2026-08-25T16:15:00+08:00
c3cc644e-d99b-4f01-b9b1-83294bf224f3,M-1419,SESS-20260825-5823-0001,RENTAL_ACCRUAL,45,219,2026-08-26T04:15:00+08:00
8da82b7d-87e9-45bb-b568-6cd48295c318,M-1809,SESS-20260825-5492-0002,RENTAL_ACCRUAL,30,682,2026-08-25T20:15:00+08:00
6ad0c878-d30d-4066-a7ca-d08d620416ab,M-1340,SESS-20260825-5243-0003,RENTAL_ACCRUAL,6,552,2026-08-25T13:45:00+08:00
df7e2e8f-22b1-4d87-bbeb-36eb1481068a,M-1802,SESS-20260825-4106-0004,RENTAL_REDEMPTION,-100,183,2026-08-25T08:15:00+08:00
8c9adbb3-7b4b-47a1-9db8-1d3d332cb001,M-1802,SESS-20260825-4106-0004,RENTAL_ACCRUAL,10,193,2026-08-25T11:15:00+08:00
f68ba5dc-c6cd-4a4f-9d16-22a38586e3f7,M-1759,SESS-20260825-9708-0005,RENTAL_ACCRUAL,9,494,2026-08-25T13:45:00+08:00
df946d6e-4001-40b7-8ca6-a61bf56ad7e2,M-1191,SESS-20260825-7737-0006,RENTAL_ACCRUAL,18,97,2026-08-25T06:45:00+08:00
829bd2c8-94fa-4661-865e-094470ed11a5,M-1931,SESS-20260825-4344-0007,RENTAL_ACCRUAL,5,108,2026-08-25T10:30:00+08:00
b9a4b0ec-f5e8-496f-9272-3a51ba1cfdea,M-1888,SESS-20260825-3572-0008,RENTAL_ACCRUAL,60,258,2026-08-25T19:45:00+08:00
d7dd4fb2-b218-4631-8f6b-f52ffcf937f5,M-1888,TIER_UPGRADE_Standard_TO_Silver,TIER_BONUS,50,308,2026-08-25T19:45:00+08:00
bd175c18-4f88-4996-b710-cfda30499d23,M-1608,SESS-20260825-5850-0009,RENTAL_REDEMPTION,-100,330,2026-08-25T16:15:00+08:00
2912eca4-46ee-4c0e-aba1-43742e3648ba,M-1608,SESS-20260825-5850-0009,RENTAL_ACCRUAL,2,332,2026-08-25T17:15:00+08:00
1f09d549-2f60-4e06-9e12-387b15d30ed6,M-2021,SESS-20260825-2216-0010,RENTAL_ACCRUAL,27,186,2026-08-25T23:15:00+08:00
dfea49ff-d660-4021-8ff6-21f731208161,M-1719,SESS-20260825-1116-0011,RENTAL_ACCRUAL,6,341,2026-08-25T22:15:00+08:00
0472422c-4a3f-4f5e-8db8-246d1bb7e605,M-1653,SESS-20260825-9156-0012,RENTAL_ACCRUAL,16,395,2026-08-26T00:30:00+08:00
287830ec-5769-46ed-8cbe-c9dbb3727319,M-1919,SESS-20260825-2411-0013,RENTAL_ACCRUAL,15,45,2026-08-26T00:45:00+08:00
ee990e8e-7e6f-45bd-af16-f50309b9e5db,M-1823,SESS-20260825-5135-0014,RENTAL_ACCRUAL,30,736,2026-08-26T03:30:00+08:00
b940542b-c1d5-467b-a77d-16d88dcda337,M-1541,SESS-20260825-2996-0015,RENTAL_ACCRUAL,30,260,2026-08-26T03:30:00+08:00
20642b79-619d-408b-a55b-0635b2f3d3d6,M-1016,SESS-20260825-7540-0016,RENTAL_ACCRUAL,45,241,2026-08-26T03:45:00+08:00
654e4d7d-4b7b-45ef-9423-17901ff691c4,M-1398,SESS-20260825-5344-0017,RENTAL_ACCRUAL,6,302,2026-08-25T19:15:00+08:00
07bb09e7-7f95-4744-ad15-8605d8b410a7,M-2124,SESS-20260825-9881-0018,RENTAL_REDEMPTION,-200,37,2026-08-25T20:15:00+08:00
