purchase_id,member_id,rental_id,total_amount,points_accrued,payment_method,purchased_at
ORD-20260802-5521-0070,M-1774,SESS-20260802-3787-0333,25.00,3,Cash,2026-08-02T01:52:36+08:00
ORD-20260802-7418-0193,M-1149,SESS-20260802-8073-0185,65.00,8,GCash,2026-08-02T02:59:37+08:00
ORD-20260802-7783-0266,M-1040,SESS-20260802-7442-0035,230.00,28,Maya,2026-08-02T05:55:40+08:00
ORD-20260802-5783-0036,M-1037,SESS-20260802-7185-0214,65.00,9,Maya,2026-08-02T05:57:27+08:00
ORD-20260802-6703-0084,M-1186,SESS-20260802-3857-0106,65.00,8,Cash,2026-08-02T06:19:46+08:00
ORD-20260802-2912-0273,M-1030,SESS-20260802-9380-0017,215.00,26,Cash,2026-08-02T06:21:49+08:00
ORD-20260802-8223-0097,M-1166,SESS-20260802-3507-0037,120.00,15,GCash,2026-08-02T06:29:28+08:00
ORD-20260802-6094-0207,M-1189,SESS-20260802-6438-0058,315.00,39,GCash,2026-08-02T07:25:07+08:00
ORD-20260802-2101-0191,M-1712,SESS-20260802-6100-0008,300.00,37,GCash,2026-08-02T08:20:37+08:00
ORD-20260802-3872-0242,M-1804,SESS-20260802-7222-0129,95.00,11,GCash,2026-08-02T08:20:45+08:00
ORD-20260802-9056-0148,M-1925,SESS-20260802-2568-0095,405.00,50,Maya,2026-08-02T08:49:00+08:00
ORD-20260802-5972-0390,M-1308,,65.00,8,GCash,2026-08-02T09:09:00+08:00
ORD-20260802-4416-0357,M-1845,,90.00,11,Cash,2026-08-02T09:14:00+08:00
ORD-20260802-2646-0059,M-1793,SESS-20260802-3886-0194,120.00,18,GCash,2026-08-02T09:16:41+08:00
ORD-20260802-4983-0367,M-1037,,210.00,31,Cash,2026-08-02T09:35:00+08:00
ORD-20260802-6924-0363,M-2017,,60.00,7,GCash,2026-08-02T09:38:00+08:00
ORD-20260802-3960-0298,M-1347,,85.00,12,GCash,2026-08-02T09:46:00+08:00
ORD-20260802-9962-0249,M-2196,SESS-20260802-1800-0084,65.00,6,GCash,2026-08-02T09:46:50+08:00
ORD-20260802-6038-0304,M-1126,,65.00,8,GCash,2026-08-02T09:49:00+08:00
ORD-20260802-2527-0034,M-1088,SESS-20260802-4730-0295,65.00,9,Cash,2026-08-02T09:49:18+08:00
ORD-20260802-5771-0322,M-1406,,220.00,27,GCash,2026-08-02T10:01:00+08:00
ORD-20260802-1211-0340,M-1056,,240.00,30,Cash,2026-08-02T10:05:00+08:00
ORD-20260802-6143-0386,M-1342,,60.00,7,Maya,2026-08-02T10:14:00+08:00
ORD-20260802-1831-0376,M-2044,,135.00,16,Cash,2026-08-02T10:20:00+08:00
ORD-20260802-7298-0351,M-1814,,90.00,11,Cash,2026-08-02T10:22:00+08:00
ORD-20260802-5285-0269,M-1109,SESS-20260802-6900-0055,120.00,15,GCash,2026-08-02T10:23:34+08:00
ORD-20260802-3215-0358,M-1562,,185.00,27,Cash,2026-08-02T10:25:00+08:00
ORD-20260802-5768-0389,M-1320,,30.00,4,Maya,2026-08-02T10:25:00+08:00
ORD-20260802-4290-0234,M-1383,SESS-20260802-4566-0188,75.00,9,Cash,2026-08-02T10:26:43+08:00
ORD-20260802-4056-0337,M-1676,,90.00,13,GCash,2026-08-02T10:29:00+08:00
ORD-20260802-3700-0100,M-2176,SESS-20260802-1238-0082,65.00,6,GCash,2026-08-02T10:46:41+08:00
ORD-20260802-6730-0361,M-2110,,85.00,10,GCash,2026-08-02T10:56:00+08:00
ORD-20260802-1808-0316,M-1703,,285.00,35,GCash,2026-08-02T11:02:00+08:00
ORD-20260802-9496-0268,M-1603,SESS-20260802-5419-0200,60.00,7,GCash,2026-08-02T11:02:04+08:00
ORD-20260802-3647-0377,M-1048,,150.00,22,Cash,2026-08-02T11:22:00+08:00
ORD-20260802-7308-0314,M-1530,,205.00,30,GCash,2026-08-02T11:26:00+08:00
ORD-20260802-7318-0339,M-1768,,65.00,9,GCash,2026-08-02T11:27:00+08:00
ORD-20260802-8306-0151,M-1747,SESS-20260802-2982-0071,60.00,7,GCash,2026-08-02T11:30:57+08:00
ORD-20260802-9174-0045,M-1753,SESS-20260802-6517-0314,65.00,8,Maya,2026-08-02T11:35:23+08:00
ORD-20260802-3894-0306,M-1120,,65.00,8,Maya,2026-08-02T11:38:00+08:00
ORD-20260802-7604-0162,M-1013,SESS-20260802-9050-0027,30.00,3,GCash,2026-08-02T11:38:46+08:00
ORD-20260802-4148-0088,M-1544,SESS-20260802-9518-0128,65.00,8,Cash,2026-08-02T11:39:14+08:00
ORD-20260802-5444-0296,M-1619,SESS-20260802-9226-0012,90.00,11,Cash,2026-08-02T11:39:25+08:00
ORD-20260802-9920-0305,M-2128,,245.00,24,Cash,2026-08-02T11:49:00+08:00
ORD-20260802-4261-0205,M-1655,SESS-20260802-9184-0291,90.00,11,Maya,2026-08-02T11:50:17+08:00
ORD-20260802-8854-0219,M-1792,SESS-20260802-3658-0086,65.00,9,GCash,2026-08-02T11:52:16+08:00
ORD-20260802-4061-0318,M-1801,,135.00,16,GCash,2026-08-02T12:01:00+08:00
ORD-20260802-8221-0294,M-1472,SESS-20260802-9847-0011,295.00,36,GCash,2026-08-02T12:10:56+08:00
ORD-20260802-2498-0328,M-2193,,195.00,19,Cash,2026-08-02T12:19:00+08:00
ORD-20260802-1024-0388,M-2114,,65.00,6,Maya,2026-08-02T12:22:00+08:00
ORD-20260802-2153-0016,M-1664,SESS-20260802-7241-0276,185.00,27,GCash,2026-08-02T12:27:08+08:00
ORD-20260802-2422-0374,M-1081,,345.00,43,Maya,2026-08-02T12:32:00+08:00
ORD-20260802-9783-0313,M-1478,,30.00,3,Cash,2026-08-02T12:48:00+08:00
ORD-20260802-5264-0170,M-1672,SESS-20260802-5828-0000,30.00,3,GCash,2026-08-02T12:54:02+08:00
ORD-20260802-1912-0315,M-1502,,85.00,10,Maya,2026-08-02T12:55:00+08:00
ORD-20260802-9405-0303,M-2194,,95.00,9,Maya,2026-08-02T13:06:00+08:00
ORD-20260802-9547-0167,M-1612,SESS-20260802-1688-0182,200.00,25,GCash,2026-08-02T13:07:08+08:00
ORD-20260802-4425-0342,M-1703,,120.00,15,GCash,2026-08-02T13:11:00+08:00
