rental_id,member_id,workstation_id,session_start,session_end,duration_hours,base_hourly_rate,member_tier_applied,tier_discount_pct,final_hourly_rate,gross_rental_amount,points_redeemed,points_credit_value,net_amount_paid,points_accrued,payment_method
SESS-20260814-5581-0079,M-1694,PC-120,2026-08-14T01:00:00+08:00,2026-08-14T03:00:00+08:00,2.00,80.00,Silver,0.10,72.00,144.00,0,0.00,144.00,18,Maya
SESS-20260814-2890-0047,M-1693,PC-068,2026-08-14T01:40:00+08:00,2026-08-14T06:40:00+08:00,5.00,50.00,Silver,0.10,45.00,225.00,200,100.00,125.00,15,GCash
SESS-20260814-9056-0192,M-1667,PC-161,2026-08-14T02:30:00+08:00,2026-08-14T03:30:00+08:00,1.00,120.00,Silver,0.10,108.00,108.00,0,0.00,108.00,13,Cash
SESS-20260814-7040-0043,M-1208,PC-124,2026-08-14T02:45:00+08:00,2026-08-14T04:45:00+08:00,2.00,80.00,Gold,0.20,64.00,128.00,0,0.00,128.00,19,Maya
SESS-20260814-5530-0121,M-1882,PC-153,2026-08-14T03:00:00+08:00,2026-08-14T05:00:00+08:00,2.00,120.00,Silver,0.10,108.00,216.00,0,0.00,216.00,27,GCash
SESS-20260814-6843-0197,M-2160,PC-063,2026-08-14T03:00:00+08:00,2026-08-14T06:00:00+08:00,3.00,50.00,Standard,0.00,50.00,150.00,100,50.00,100.00,10,Cash
SESS-20260814-9878-0050,M-1629,PC-114,2026-08-14T03:15:00+08:00,2026-08-14T06:15:00+08:00,3.00,80.00,Silver,0.10,72.00,216.00,0,0.00,216.00,27,Maya
SESS-20260814-9452-0216,M-1521,PC-133,2026-08-14T04:15:00+08:00,2026-08-14T06:15:00+08:00,2.00,80.00,Gold,0.20,64.00,128.00,0,0.00,128.00,19,Maya
SESS-20260814-6081-0051,M-1586,PC-051,2026-08-14T04:30:00+08:00,2026-08-14T05:30:00+08:00,1.00,50.00,Silver,0.10,45.00,45.00,0,0.00,45.00,5,GCash
SESS-20260814-7308-0208,M-2033,PC-097,2026-08-14T05:00:00+08:00,2026-08-14T07:00:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,Cash
SESS-20260814-4260-0022,M-1247,PC-022,2026-08-14T05:15:00+08:00,2026-08-14T08:15:00+08:00,3.00,50.00,Gold,0.20,40.00,120.00,100,50.00,70.00,10,Cash
SESS-20260814-5256-0030,M-2200,PC-029,2026-08-14T06:00:00+08:00,2026-08-14T08:00:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,Cash
