purchase_id,member_id,rental_id,total_amount,points_accrued,payment_method,purchased_at
ORD-20260814-1808-0011,M-1694,SESS-20260814-5581-0079,30.00,3,GCash,2026-08-14T02:05:46+08:00
ORD-20260814-3810-0181,M-1667,SESS-20260814-9056-0192,150.00,18,Cash,2026-08-14T02:35:05+08:00
ORD-20260814-8856-0081,M-1882,SESS-20260814-5530-0121,130.00,16,Maya,2026-08-14T03:23:06+08:00
ORD-20260814-1805-0222,M-2160,SESS-20260814-6843-0197,405.00,40,Credit Card,2026-08-14T03:42:36+08:00
ORD-20260814-9199-0174,M-1208,SESS-20260814-7040-0043,120.00,18,Maya,2026-08-14T03:53:49+08:00
ORD-20260814-9151-0141,M-1693,SESS-20260814-2890-0047,120.00,15,GCash,2026-08-14T04:12:12+08:00
ORD-20260814-3905-0023,M-2075,SESS-20260814-5934-0124,140.00,17,Cash,2026-08-14T06:25:48+08:00
ORD-20260814-5912-0220,M-1397,SESS-20260814-8864-0068,65.00,9,Cash,2026-08-14T06:27:12+08:00
ORD-20260814-5429-0224,M-2031,SESS-20260814-7738-0259,120.00,12,Maya,2026-08-14T07:17:32+08:00
ORD-20260814-8233-0036,M-1247,SESS-20260814-4260-0022,240.00,36,Cash,2026-08-14T07:21:44+08:00
ORD-20260814-9784-0106,M-1306,SESS-20260814-2673-0421,65.00,8,GCash,2026-08-14T08:03:59+08:00
ORD-20260814-5127-0068,M-1512,SESS-20260814-9555-0101,25.00,3,Cash,2026-08-14T08:38:01+08:00
ORD-20260814-6272-0018,M-1401,SESS-20260814-9315-0062,150.00,18,Credit Card,2026-08-14T09:08:46+08:00
ORD-20260814-4570-0270,M-1588,,30.00,4,Maya,2026-08-14T09:11:00+08:00
ORD-20260814-6579-0010,M-1722,SESS-20260814-5100-0123,130.00,19,GCash,2026-08-14T09:28:53+08:00
ORD-20260814-2466-0228,M-1363,SESS-20260814-7861-0263,300.00,37,Cash,2026-08-14T09:38:08+08:00
ORD-20260814-8615-0283,M-1472,,235.00,29,Cash,2026-08-14T09:39:00+08:00
ORD-20260814-4468-0320,M-1814,,65.00,8,GCash,2026-08-14T09:52:00+08:00
ORD-20260814-2916-0147,M-1636,SESS-20260814-8524-0239,120.00,18,GCash,2026-08-14T09:55:40+08:00
ORD-20260814-4106-0288,M-1954,,30.00,3,GCash,2026-08-14T09:56:00+08:00
ORD-20260814-3412-0176,M-1450,SESS-20260814-9504-0112,360.00,45,Credit Card,2026-08-14T09:56:32+08:00
ORD-20260814-9234-0281,M-1931,,65.00,6,GCash,2026-08-14T10:00:00+08:00
ORD-20260814-9963-0122,M-1474,SESS-20260814-3079-0144,60.00,7,Cash,2026-08-14T10:02:00+08:00
ORD-20260814-3588-0025,M-1710,SESS-20260814-3349-0271,240.00,30,GCash,2026-08-14T10:04:31+08:00
ORD-20260814-1826-0306,M-1773,,30.00,4,GCash,2026-08-14T10:07:00+08:00
ORD-20260814-5970-0321,M-1301,,120.00,15,Cash,2026-08-14T10:21:00+08:00
ORD-20260814-4296-0284,M-1800,,65.00,8,Cash,2026-08-14T10:23:00+08:00
ORD-20260814-8766-0112,M-1876,SESS-20260814-6160-0024,65.00,6,Maya,2026-08-14T10:24:45+08:00
ORD-20260814-9059-0289,M-1018,,95.00,11,Maya,2026-08-14T10:43:00+08:00
ORD-20260814-9138-0020,M-1072,SESS-20260814-8128-0170,300.00,37,GCash,2026-08-14T10:54:16+08:00
ORD-20260814-3842-0009,M-1311,SESS-20260814-1583-0228,60.00,7,Maya,2026-08-14T11:06:10+08:00
ORD-20260814-2987-0290,M-1369,,90.00,11,GCash,2026-08-14T11:15:00+08:00
ORD-20260814-2724-0318,M-2049,,75.00,9,Credit Card,2026-08-14T11:17:00+08:00
ORD-20260814-2026-0252,M-1751,,85.00,10,Maya,2026-08-14T11:20:00+08:00
ORD-20260814-7589-0254,M-1843,,150.00,18,Cash,2026-08-14T11:30:00+08:00
ORD-20260814-9416-0044,M-1561,SESS-20260814-7445-0205,270.00,33,GCash,2026-08-14T11:41:16+08:00
ORD-20260814-9781-0316,M-1477,,120.00,15,GCash,2026-08-14T11:46:00+08:00
ORD-20260814-3644-0280,M-1163,,90.00,11,Cash,2026-08-14T11:47:00+08:00
ORD-20260814-4321-0309,M-1149,,120.00,15,Maya,2026-08-14T11:53:00+08:00
ORD-20260814-2988-0075,M-1329,SESS-20260814-3023-0111,85.00,10,GCash,2026-08-14T12:04:36+08:00
ORD-20260814-2219-0259,M-1088,,85.00,12,Cash,2026-08-14T12:09:00+08:00
ORD-20260814-7853-0187,M-1222,SESS-20260814-9977-0341,90.00,11,Cash,2026-08-14T12:13:14+08:00
ORD-20260814-8273-0295,M-1418,,120.00,15,Maya,2026-08-14T12:18:00+08:00
ORD-20260814-7732-0151,M-1465,SESS-20260814-2067-0018,275.00,41,Credit Card,2026-08-14T12:21:53+08:00
ORD-20260814-9722-0013,M-1007,SESS-20260814-2722-0388,140.00,21,GCash,2026-08-14T12:32:41+08:00
ORD-20260814-2674-0051,M-1838,SESS-20260814-3328-0272,85.00,10,Maya,2026-08-14T12:40:00+08:00
ORD-20260814-1717-0304,M-1585,,135.00,20,GCash,2026-08-14T12:46:00+08:00
ORD-20260814-4443-0310,M-1913,,30.00,3,Cash,2026-08-14T12:47:00+08:00
ORD-20260814-1377-0258,M-1707,,90.00,13,Cash,2026-08-14T12:48:00+08:00
ORD-20260814-3344-0302,M-2078,,210.00,21,GCash,2026-08-14T12:54:00+08:00
ORD-20260814-8384-0161,M-1774,SESS-20260814-9573-0211,135.00,16,Maya,2026-08-14T12:56:47+08:00
ORD-20260814-9792-0255,M-1389,,65.00,9,GCash,2026-08-14T13:00:00+08:00
ORD-20260814-2583-0285,M-1080,,180.00,27,Credit Card,2026-08-14T13:02:00+08:00
ORD-20260814-1271-0266,M-1724,,215.00,26,Credit Card,2026-08-14T13:03:00+08:00
ORD-20260814-5814-0046,M-1507,SESS-20260814-6411-0257,90.00,11,Maya,2026-08-14T13:09:05+08:00
ORD-20260814-7380-0240,M-2017,SESS-20260814-8337-0202,90.00,11,GCash,2026-08-14T13:09:28+08:00
ORD-20260814-1197-0060,M-1586,SESS-20260814-9911-0146,60.00,7,Cash,2026-08-14T13:10:41+08:00
ORD-20260814-5840-0286,M-2088,,90.00,11,Cash,2026-08-14T13:13:00+08:00
ORD-20260814-9220-0299,M-1599,,65.00,8,GCash,2026-08-14T13:26:00+08:00
ORD-20260814-4689-0271,M-1676,,140.00,21,Maya,2026-08-14T13:28:00+08:00
ORD-20260814-8461-0260,M-1577,,65.00,8,GCash,2026-08-14T13:35:00+08:00
ORD-20260814-5245-0249,M-2078,,95.00,9,Maya,2026-08-14T13:36:00+08:00
ORD-20260814-5753-0276,M-1381,,30.00,3,Cash,2026-08-14T13:36:00+08:00
ORD-20260814-3300-0118,M-1458,SESS-20260814-7395-0074,95.00,11,Maya,2026-08-14T13:40:30+08:00
ORD-20260814-7339-0253,M-1363,,245.00,30,Maya,2026-08-14T13:46:00+08:00
ORD-20260814-4799-0154,M-1836,SESS-20260814-3038-0085,120.00,15,GCash,2026-08-14T13:53:50+08:00
ORD-20260814-5330-0008,M-1796,SESS-20260814-6228-0116,60.00,7,Maya,2026-08-14T14:01:31+08:00
ORD-20260814-6251-0133,M-1350,SESS-20260814-2330-0188,275.00,41,GCash,2026-08-14T14:03:09+08:00
