order_item_id,purchase_id,item_sku,quantity,unit_price,total_price
ITEM-20260702-1140-0001-01,ORD-20260702-1140-0001,SKU-BEV-02,1,90.00,90.00
ITEM-20260702-1140-0001-02,ORD-20260702-1140-0001,SKU-BEV-03,1,30.00,30.00
ITEM-20260702-1140-0001-03,ORD-20260702-1140-0001,SKU-SNK-01,1,120.00,120.00
ITEM-20260701-9525-0002-01,ORD-20260701-9525-0002,SKU-SNK-04,2,60.00,120.00
ITEM-20260701-5997-0003-01,ORD-20260701-5997-0003,SKU-BEV-01,1,65.00,65.00
ITEM-20260702-9075-0004-01,ORD-20260702-9075-0004,SKU-BEV-02,1,90.00,90.00
ITEM-20260702-9075-0004-02,ORD-20260702-9075-0004,SKU-ACC-02,1,180.00,180.00
ITEM-20260701-8269-0005-01,ORD-20260701-8269-0005,SKU-BEV-03,3,30.00,90.00
ITEM-20260701-1706-0006-01,ORD-20260701-1706-0006,SKU-BEV-01,1,65.00,65.00
ITEM-20260701-5990-0007-01,ORD-20260701-5990-0007,SKU-BEV-01,1,65.00,65.00
ITEM-20260701-5990-0007-02,ORD-20260701-5990-0007,SKU-SNK-02,1,135.00,135.00
ITEM-20260701-7642-0008-01,ORD-20260701-7642-0008,SKU-SNK-03,2,75.00,150.00
ITEM-20260701-7642-0008-02,ORD-20260701-7642-0008,SKU-BEV-03,1,30.00,30.00
ITEM-20260701-7642-0008-03,ORD-20260701-7642-0008,SKU-SNK-04,1,60.00,60.00
ITEM-20260701-1202-0009-01,ORD-20260701-1202-0009,SKU-BEV-04,1,85.00,85.00
ITEM-20260701-1202-0009-02,ORD-20260701-1202-0009,SKU-BEV-01,2,65.00,130.00
ITEM-20260702-2049-0010-01,ORD-20260702-2049-0010,SKU-SNK-01,1,120.00,120.00
ITEM-20260702-2049-0010-02,ORD-20260702-2049-0010,SKU-BEV-02,1,90.00,90.00
ITEM-20260701-7122-0011-01,ORD-20260701-7122-0011,SKU-BEV-03,1,30.00,30.00
ITEM-20260701-5430-0012-01,ORD-20260701-5430-0012,SKU-SNK-03,1,75.00,75.00
ITEM-20260701-5430-0012-02,ORD-20260701-5430-0012,SKU-SNK-01,1,120.00,120.00
ITEM-20260701-3051-0013-01,ORD-20260701-3051-0013,SKU-BEV-02,1,90.00,90.00
ITEM-20260701-4870-0014-01,ORD-20260701-4870-0014,SKU-BEV-01,1,65.00,65.00
ITEM-20260701-5707-0015-01,ORD-20260701-5707-0015,SKU-BEV-04,1,85.00,85.00
ITEM-20260701-5707-0015-02,ORD-20260701-5707-0015,SKU-SNK-01,1,120.00,120.00
ITEM-20260701-6021-0016-01,ORD-20260701-6021-0016,SKU-BEV-04,1,85.00,85.00
ITEM-20260701-6021-0016-02,ORD-20260701-6021-0016,SKU-BEV-01,1,65.00,65.00
ITEM-20260701-3376-0017-01,ORD-20260701-3376-0017,SKU-BEV-01,1,65.00,65.00
ITEM-20260701-6544-0018-01,ORD-20260701-6544-0018,SKU-SNK-01,1,120.00,120.00
ITEM-20260701-4188-0019-01,ORD-20260701-4188-0019,SKU-SNK-02,1,135.00,135.00
ITEM-20260701-9737-0020-01,ORD-20260701-9737-0020,SKU-BEV-01,1,65.00,65.00
ITEM-20260701-9737-0020-02,ORD-20260701-9737-0020,SKU-SNK-01,1,120.00,120.00
ITEM-20260701-9737-0020-03,ORD-20260701-9737-0020,SKU-BEV-02,1,90.00,90.00
ITEM-20260701-1361-0021-01,ORD-20260701-1361-0021,SKU-SNK-01,1,120.00,120.00
ITEM-20260701-8915-0022-01,ORD-20260701-8915-0022,SKU-BEV-04,1,85.00,85.00
ITEM-20260701-8963-0023-01,ORD-20260701-8963-0023,SKU-SNK-03,1,75.00,75.00
ITEM-20260701-8963-0023-02,ORD-20260701-8963-0023,SKU-SNK-01,1,120.00,120.00
ITEM-20260701-1037-0024-01,ORD-20260701-1037-0024,SKU-BEV-02,1,90.00,90.00
ITEM-20260701-5478-0025-01,ORD-20260701-5478-0025,SKU-BEV-01,1,65.00,65.00
ITEM-20260701-5478-0025-02,ORD-20260701-5478-0025,SKU-SNK-01,1,120.00,120.00
ITEM-20260701-2805-0026-01,ORD-20260701-2805-0026,SKU-BEV-01,1,65.00,65.00
ITEM-20260701-1069-0027-01,ORD-20260701-1069-0027,SKU-BEV-01,1,65.00,65.00
ITEM-20260701-1069-0027-02,ORD-20260701-1069-0027,SKU-SNK-03,1,75.00,75.00
ITEM-20260701-1905-0028-01,ORD-20260701-1905-0028,SKU-SNK-01,1,120.00,120.00
ITEM-20260701-1905-0028-02,ORD-20260701-1905-0028,SKU-BEV-02,1,90.00,90.00
ITEM-20260701-7792-0029-01,ORD-20260701-7792-0029,SKU-SNK-01,3,120.00,360.00
ITEM-20260701-6850-0030-01,ORD-20260701-6850-0030,SKU-BEV-01,1,65.00,65.00
ITEM-20260701-4263-0031-01,ORD-20260701-4263-0031,SKU-BEV-02,1,90.00,90.00
ITEM-20260701-4263-0031-02,ORD-20260701-4263-0031,SKU-BEV-01,1,65.00,65.00
ITEM-20260701-7958-0032-01,ORD-20260701-7958-0032,SKU-BEV-01,1,65.00,65.00
ITEM-20260702-5482-0033-01,ORD-20260702-5482-0033,SKU-BEV-04,1,85.00,85.00
ITEM-20260702-5482-0033-02,ORD-20260702-5482-0033,SKU-SNK-01,1,120.00,120.00
ITEM-20260702-5482-0033-03,ORD-20260702-5482-0033,SKU-BEV-01,1,65.00,65.00
ITEM-20260701-4741-0034-01,ORD-20260701-4741-0034,SKU-SNK-01,1,120.00,120.00
ITEM-20260702-9292-0035-01,ORD-20260702-9292-0035,SKU-SNK-02,1,135.00,135.00
ITEM-20260702-9292-0035-02,ORD-20260702-9292-0035,SKU-BEV-02,1,90.00,90.00
ITEM-20260701-3779-0036-01,ORD-20260701-3779-0036,SKU-SNK-04,1,60.00,60.00
