purchase_id,member_id,rental_id,total_amount,points_accrued,payment_method,purchased_at
ORD-20260811-6800-0171,M-1931,SESS-20260811-2262-0075,65.00,6,GCash,2026-08-11T02:26:24+08:00
ORD-20260811-9834-0005,M-1973,SESS-20260811-1783-0096,75.00,7,Cash,2026-08-11T04:05:07+08:00
ORD-20260811-7769-0185,M-1747,SESS-20260811-2713-0181,65.00,8,GCash,2026-08-11T04:13:19+08:00
ORD-20260811-1120-0087,M-1148,SESS-20260811-7663-0422,150.00,18,Cash,2026-08-11T04:32:43+08:00
ORD-20260811-1595-0214,M-1400,SESS-20260811-7065-0046,90.00,11,GCash,2026-08-11T07:56:03+08:00
ORD-20260811-8495-0079,M-2124,SESS-20260811-2920-0393,25.00,2,GCash,2026-08-11T08:10:47+08:00
ORD-20260811-4190-0037,M-1056,SESS-20260811-9918-0033,90.00,11,GCash,2026-08-11T08:21:00+08:00
ORD-20260811-3431-0178,M-1707,SESS-20260811-7815-0051,150.00,22,GCash,2026-08-11T08:57:40+08:00
ORD-20260811-7782-0163,M-1649,SESS-20260811-1213-0025,90.00,11,Cash,2026-08-11T09:03:44+08:00
ORD-20260811-3097-0261,M-1507,,130.00,16,Credit Card,2026-08-11T09:34:00+08:00
ORD-20260811-9726-0252,M-2015,,75.00,7,Cash,2026-08-11T09:35:00+08:00
ORD-20260811-9368-0118,M-2094,SESS-20260811-6330-0064,305.00,30,Maya,2026-08-11T09:48:44+08:00
ORD-20260811-7212-0229,M-1462,,335.00,50,GCash,2026-08-11T09:53:00+08:00
ORD-20260811-3515-0008,M-1641,SESS-20260811-5293-0192,135.00,16,Maya,2026-08-11T09:54:05+08:00
ORD-20260811-8301-0294,M-1759,,65.00,8,GCash,2026-08-11T10:05:00+08:00
ORD-20260811-3057-0012,M-1510,SESS-20260811-2596-0141,120.00,15,Cash,2026-08-11T10:08:31+08:00
ORD-20260811-5319-0013,M-1791,SESS-20260811-2409-0054,120.00,15,Cash,2026-08-11T10:09:46+08:00
ORD-20260811-9992-0077,M-1019,SESS-20260811-6357-0423,180.00,22,Maya,2026-08-11T10:14:53+08:00
ORD-20260811-7062-0256,M-1801,,300.00,37,Cash,2026-08-11T10:29:00+08:00
ORD-20260811-3415-0270,M-1478,,185.00,23,Cash,2026-08-11T10:45:00+08:00
ORD-20260811-7847-0258,M-1332,,30.00,3,GCash,2026-08-11T11:05:00+08:00
ORD-20260811-7264-0041,M-1767,SESS-20260811-3512-0463,65.00,8,Cash,2026-08-11T11:26:28+08:00
ORD-20260811-6231-0228,M-1295,,90.00,11,Maya,2026-08-11T11:36:00+08:00
ORD-20260811-3838-0094,M-1535,SESS-20260811-4964-0045,150.00,18,GCash,2026-08-11T11:37:42+08:00
ORD-20260811-9039-0189,M-1632,SESS-20260811-6440-0241,75.00,11,Cash,2026-08-11T11:52:32+08:00
ORD-20260811-3407-0099,M-1639,SESS-20260811-8686-0094,325.00,40,Cash,2026-08-11T11:53:35+08:00
ORD-20260811-3366-0245,M-1185,,60.00,7,Credit Card,2026-08-11T11:56:00+08:00
ORD-20260811-9150-0274,M-1199,,260.00,32,Maya,2026-08-11T12:05:00+08:00
ORD-20260811-8160-0108,M-2177,SESS-20260811-6356-0179,115.00,11,Cash,2026-08-11T12:07:48+08:00
ORD-20260811-4743-0233,M-1548,,65.00,9,GCash,2026-08-11T12:11:00+08:00
ORD-20260811-5332-0072,M-1627,SESS-20260811-1613-0261,120.00,15,GCash,2026-08-11T12:15:11+08:00
ORD-20260811-5137-0237,M-1767,,270.00,33,GCash,2026-08-11T12:21:00+08:00
