ledger_id,member_id,source_reference_id,transaction_type,points_delta,resulting_balance,created_at
1ea1bceb-5986-465b-8490-d96ceed8d2ea,M-1068,SESS-20260807-4808-0000,RENTAL_ACCRUAL,11,458,2026-08-07T09:00:00+08:00
4a1e4d1a-1ca7-4a38-b826-27dc74dcdb60,M-1872,SESS-20260807-9524-0001,RENTAL_REDEMPTION,-100,17,2026-08-07T19:15:00+08:00
0544de80-5653-4149-bd5f-cfd02fe5f451,M-1872,SESS-20260807-9524-0001,RENTAL_ACCRUAL,20,37,2026-08-08T00:15:00+08:00
721f4329-0163-4e0e-a591-d6eb7da95640,M-1080,SESS-20260807-8581-0002,RENTAL_ACCRUAL,18,60,2026-08-07T17:45:00+08:00
ee383675-f530-4baa-8bce-e3f6d3e2a599,M-1591,SESS-20260807-6303-0003,RENTAL_REDEMPTION,-400,1576,2026-08-07T13:15:00+08:00
06f33479-6d59-49f3-8e66-f2679fd9c7a8,M-1591,SESS-20260807-6303-0003,RENTAL_ACCRUAL,13,1589,2026-08-07T16:15:00+08:00
b9c09672-a02b-487c-be89-a50fa356e07b,M-1500,SESS-20260807-9442-0004,RENTAL_ACCRUAL,12,160,2026-08-07T14:30:00+08:00
dbea8429-0b3c-48ed-bac6-bb1168ed55c9,M-2034,SESS-20260807-1177-0005,RENTAL_ACCRUAL,16,150,2026-08-07T12:45:00+08:00
9f908c58-1d23-4db8-a218-637ff3ee3347,M-2034,TIER_UPGRADE_Standard_TO_Silver,TIER_BONUS,50,200,2026-08-07T12:45:00+08:00
6b75abfe-988d-41f9-9c0d-77906a022fcc,M-1618,SESS-20260807-8666-0006,RENTAL_REDEMPTION,-100,10,2026-08-07T19:30:00+08:00
065d5ada-0fc5-423f-9053-9f1cde7f07b7,M-1618,SESS-20260807-8666-0006,RENTAL_ACCRUAL,34,44,2026-08-07T22:30:00+08:00
f833d0f9-49fb-46e6-a1d9-381134d39ae6,M-1649,SESS-20260807-9327-0007,RENTAL_ACCRUAL,18,526,2026-08-07T22:45:00+08:00
750ad9b8-b6be-49a9-8619-ba36cd1283e2,M-1393,SESS-20260807-2091-0008,RENTAL_REDEMPTION,-100,194,2026-08-07T22:00:00+08:00
54892eec-a548-412c-8116-5ab536712c64,M-1393,SESS-20260807-2091-0008,RENTAL_ACCRUAL,10,204,2026-08-08T01:00:00+08:00
8e9ec217-fbe2-4b64-9aed-e9e721209e6d,M-1238,SESS-20260807-4054-0009,RENTAL_ACCRUAL,18,264,2026-08-07T18:15:00+08:00
fb8f9a79-1919-413d-a2e8-020b57acb9dc,M-1402,SESS-20260807-4291-0010,RENTAL_REDEMPTION,-400,58,2026-08-07T22:30:00+08:00
e3276906-3795-4ffa-96c6-e225a1f492e7,M-1402,SESS-20260807-4291-0010,RENTAL_ACCRUAL,3,61,2026-08-08T03:30:00+08:00
aa96c8e3-180c-4a25-a002-2daea0f51455,M-1199,SESS-20260807-9189-0011,RENTAL_ACCRUAL,11,70,2026-08-07T02:45:00+08:00
ccdcbd3b-bd99-418b-8427-c2c0b9425dd9,M-1453,SESS-20260807-8022-0012,RENTAL_ACCRUAL,9,55,2026-08-07T20:00:00+08:00
45656e31-cdab-4612-8e80-a152a256096c,M-1492,SESS-20260807-4834-0013,RENTAL_ACCRUAL,72,117,2026-08-08T01:30:00+08:00
80abfbb5-dec2-4915-913e-507e62548bad,M-1320,SESS-20260807-3761-0014,RENTAL_ACCRUAL,30,1129,2026-08-08T00:30:00+08:00
4fc5d47a-a55a-47c0-a5b9-05a9d0f5e0d1,M-2051,SESS-20260807-7003-0015,RENTAL_ACCRUAL,40,186,2026-08-08T01:45:00+08:00
98c6fd31-04e6-4ff6-a6b9-b828095ebeed,M-1313,SESS-20260807-2180-0016,RENTAL_ACCRUAL,67,276,2026-08-07T21:15:00+08:00
94520522-dc19-48c7-beef-714c707097fe,M-1891,SESS-20260807-3107-0017,RENTAL_ACCRUAL,10,85,2026-08-07T21:30:00+08:00
2f03a3e7-cf00-435d-90d3-1ff48a2253e6,M-1210,SESS-20260807-6736-0018,RENTAL_ACCRUAL,18,1093,2026-08-07T21:30:00+08:00
d7bbec3e-878a-4c27-b958-bca185938e3f,M-1157,SESS-20260807-3748-0019,RENTAL_ACCRUAL,16,205,2026-08-08T02:30:00+08:00
b478d3c8-d7dc-426c-abbc-d5d64d69cb97,M-1762,SESS-20260807-4998-0020,RENTAL_ACCRUAL,11,133,2026-08-07T16:15:00+08:00
8fa30014-f1d5-4b3d-b210-0f1441d52d21,M-1501,SESS-20260807-5917-0021,RENTAL_ACCRUAL,11,109,2026-08-07T15:30:00+08:00
