purchase_id,member_id,rental_id,total_amount,points_accrued,payment_method,purchased_at
ORD-20260801-7243-0214,M-1673,SESS-20260801-5336-0044,170.00,21,GCash,2026-08-01T01:31:15+08:00
ORD-20260801-2065-0131,M-1218,SESS-20260801-6855-0105,85.00,10,GCash,2026-08-01T03:55:47+08:00
ORD-20260801-4944-0025,M-1230,SESS-20260801-8179-0028,150.00,18,GCash,2026-08-01T05:00:10+08:00
ORD-20260801-8835-0032,M-1032,SESS-20260801-1248-0146,175.00,21,GCash,2026-08-01T06:12:21+08:00
ORD-20260801-2041-0234,M-1304,SESS-20260801-9110-0241,180.00,22,GCash,2026-08-01T06:47:11+08:00
ORD-20260801-4233-0265,M-1199,SESS-20260801-4084-0063,75.00,9,GCash,2026-08-01T06:47:46+08:00
ORD-20260801-1417-0008,M-1695,SESS-20260801-8083-0279,90.00,11,Maya,2026-08-01T07:24:10+08:00
ORD-20260801-5261-0223,M-1291,SESS-20260801-3218-0214,30.00,3,GCash,2026-08-01T07:32:15+08:00
ORD-20260801-1274-0120,M-1620,SESS-20260801-3340-0181,90.00,11,Cash,2026-08-01T08:57:53+08:00
ORD-20260801-2631-0310,M-1755,,65.00,6,GCash,2026-08-01T09:04:00+08:00
ORD-20260801-7485-0298,M-1138,,65.00,8,Cash,2026-08-01T09:13:00+08:00
ORD-20260801-3984-0232,M-2016,SESS-20260801-2071-0154,30.00,3,Cash,2026-08-01T09:20:44+08:00
ORD-20260801-1071-0157,M-1845,SESS-20260801-7826-0085,65.00,8,Maya,2026-08-01T09:47:47+08:00
ORD-20260801-8682-0323,M-1083,,65.00,8,Maya,2026-08-01T09:53:00+08:00
ORD-20260801-9926-0191,M-1058,SESS-20260801-7503-0155,90.00,11,Maya,2026-08-01T10:03:18+08:00
ORD-20260801-8655-0158,M-2062,SESS-20260801-3131-0205,165.00,16,Maya,2026-08-01T10:09:26+08:00
ORD-20260801-6781-0169,M-1600,SESS-20260801-9716-0125,30.00,3,GCash,2026-08-01T10:10:58+08:00
ORD-20260801-9289-0349,M-1073,,210.00,26,Cash,2026-08-01T10:13:00+08:00
ORD-20260801-1967-0368,M-1333,,65.00,8,GCash,2026-08-01T10:13:00+08:00
ORD-20260801-6926-0303,M-1160,,65.00,8,GCash,2026-08-01T10:27:00+08:00
ORD-20260801-8608-0325,M-1963,,75.00,7,Credit Card,2026-08-01T10:29:00+08:00
ORD-20260801-1969-0360,M-1468,,85.00,12,Credit Card,2026-08-01T10:39:00+08:00
ORD-20260801-5911-0071,M-2175,SESS-20260801-6738-0171,105.00,13,GCash,2026-08-01T10:45:51+08:00
ORD-20260801-6451-0379,M-2003,,120.00,12,Cash,2026-08-01T10:47:00+08:00
ORD-20260801-1466-0312,M-1346,,115.00,14,Credit Card,2026-08-01T10:57:00+08:00
ORD-20260801-8437-0333,M-1727,,180.00,22,Maya,2026-08-01T10:58:00+08:00
ORD-20260801-5665-0358,M-1508,,30.00,3,Cash,2026-08-01T11:02:00+08:00
ORD-20260801-4092-0314,M-1631,,85.00,10,GCash,2026-08-01T11:05:00+08:00
ORD-20260801-8709-0284,M-1573,SESS-20260801-5515-0103,310.00,38,GCash,2026-08-01T11:11:31+08:00
ORD-20260801-9014-0375,M-1509,,30.00,4,GCash,2026-08-01T11:16:00+08:00
ORD-20260801-8983-0292,M-1199,,175.00,21,GCash,2026-08-01T11:42:00+08:00
ORD-20260801-4853-0311,M-2187,,90.00,9,Maya,2026-08-01T11:52:00+08:00
ORD-20260801-3519-0109,M-1680,SESS-20260801-4000-0083,90.00,11,Cash,2026-08-01T11:53:20+08:00
ORD-20260801-3713-0318,M-1307,,60.00,7,GCash,2026-08-01T11:54:00+08:00
ORD-20260801-4287-0238,M-1941,SESS-20260801-3810-0201,60.00,6,GCash,2026-08-01T11:56:41+08:00
ORD-20260801-9029-0371,M-2010,,210.00,21,GCash,2026-08-01T12:07:00+08:00
ORD-20260801-7969-0082,M-1191,SESS-20260801-2896-0147,95.00,11,Credit Card,2026-08-01T12:10:14+08:00
ORD-20260801-2469-0065,M-1256,SESS-20260801-4561-0178,155.00,19,Cash,2026-08-01T12:11:40+08:00
ORD-20260801-5614-0151,M-1057,SESS-20260801-4605-0090,75.00,9,GCash,2026-08-01T12:19:46+08:00
ORD-20260801-2976-0313,M-1786,,65.00,9,GCash,2026-08-01T12:22:00+08:00
ORD-20260801-8492-0329,M-1695,,240.00,30,Maya,2026-08-01T12:25:00+08:00
ORD-20260801-1269-0235,M-1960,SESS-20260801-4857-0395,120.00,12,Cash,2026-08-01T12:34:06+08:00
ORD-20260801-8002-0213,M-1018,SESS-20260801-1067-0389,65.00,8,GCash,2026-08-01T12:36:37+08:00
ORD-20260801-9821-0320,M-1345,,90.00,11,GCash,2026-08-01T12:39:00+08:00
ORD-20260801-3996-0189,M-1797,SESS-20260801-7932-0219,30.00,3,GCash,2026-08-01T12:56:35+08:00
ORD-20260801-1738-0301,M-2148,,120.00,12,Maya,2026-08-01T13:09:00+08:00
ORD-20260801-7038-0308,M-1267,,120.00,15,Cash,2026-08-01T13:09:00+08:00
ORD-20260801-8047-0357,M-1773,,65.00,9,GCash,2026-08-01T13:16:00+08:00
ORD-20260801-4862-0296,M-1246,,65.00,8,GCash,2026-08-01T13:18:00+08:00
ORD-20260801-7732-0316,M-1310,,145.00,18,Cash,2026-08-01T13:25:00+08:00
ORD-20260801-9409-0376,M-1409,,120.00,15,GCash,2026-08-01T13:27:00+08:00
ORD-20260801-7610-0289,M-1270,,355.00,53,GCash,2026-08-01T13:34:00+08:00
ORD-20260801-9011-0385,M-1557,,30.00,3,Cash,2026-08-01T13:34:00+08:00
ORD-20260801-8155-0369,M-1477,,125.00,15,GCash,2026-08-01T13:42:00+08:00
ORD-20260801-2430-0293,M-1791,,85.00,10,GCash,2026-08-01T13:48:00+08:00
ORD-20260801-5915-0168,M-1052,SESS-20260801-4813-0336,210.00,26,GCash,2026-08-01T13:52:18+08:00
ORD-20260801-2580-0195,M-1349,SESS-20260801-3106-0000,65.00,8,GCash,2026-08-01T13:53:54+08:00
ORD-20260801-8292-0339,M-1373,,65.00,8,GCash,2026-08-01T13:57:00+08:00
ORD-20260801-9212-0361,M-1537,,65.00,8,GCash,2026-08-01T13:58:00+08:00
ORD-20260801-1649-0148,M-1704,SESS-20260801-4021-0419,245.00,30,GCash,2026-08-01T14:02:28+08:00
ORD-20260801-2065-0346,M-2020,,65.00,6,GCash,2026-08-01T14:05:00+08:00
ORD-20260801-6349-0294,M-1753,,135.00,16,Cash,2026-08-01T14:06:00+08:00
ORD-20260801-2791-0093,M-1396,SESS-20260801-9118-0254,115.00,14,GCash,2026-08-01T14:06:26+08:00
ORD-20260801-6350-0185,M-1713,SESS-20260801-2378-0224,175.00,21,GCash,2026-08-01T14:08:08+08:00
ORD-20260801-5622-0326,M-1724,,85.00,10,GCash,2026-08-01T14:09:00+08:00
ORD-20260801-7545-0023,M-1040,SESS-20260801-5919-0025,65.00,8,GCash,2026-08-01T14:10:51+08:00
ORD-20260801-2297-0295,M-1678,,155.00,23,GCash,2026-08-01T14:18:00+08:00
ORD-20260801-8294-0259,M-1005,SESS-20260801-1532-0070,120.00,15,Cash,2026-08-01T14:23:59+08:00
ORD-20260801-3339-0141,M-1601,SESS-20260801-3814-0054,85.00,10,Cash,2026-08-01T14:27:26+08:00
ORD-20260801-8766-0253,M-1979,SESS-20260801-1347-0163,275.00,27,GCash,2026-08-01T14:35:12+08:00
ORD-20260801-8342-0243,M-1646,SESS-20260801-3086-0406,85.00,10,Cash,2026-08-01T14:35:54+08:00
ORD-20260801-8039-0112,M-1679,SESS-20260801-1098-0153,135.00,16,Maya,2026-08-01T14:42:01+08:00
ORD-20260801-5461-0340,M-1239,,485.00,60,Cash,2026-08-01T14:45:00+08:00
ORD-20260801-1110-0199,M-1540,SESS-20260801-1945-0022,30.00,3,Credit Card,2026-08-01T14:46:44+08:00
ORD-20260801-2965-0003,M-1557,SESS-20260801-5519-0429,90.00,11,GCash,2026-08-01T14:54:28+08:00
ORD-20260801-2662-0304,M-1660,,30.00,3,Maya,2026-08-01T14:55:00+08:00
ORD-20260801-4859-0327,M-1486,,120.00,15,Cash,2026-08-01T14:59:00+08:00
ORD-20260801-6299-0084,M-1893,SESS-20260801-3124-0452,90.00,9,GCash,2026-08-01T15:00:48+08:00
ORD-20260801-6142-0380,M-1571,,75.00,9,Cash,2026-08-01T15:06:00+08:00
ORD-20260801-9145-0359,M-1741,,150.00,18,GCash,2026-08-01T15:07:00+08:00
ORD-20260801-9661-0351,M-1823,,60.00,7,Cash,2026-08-01T15:09:00+08:00
ORD-20260801-6946-0053,M-1423,SESS-20260801-1566-0464,185.00,23,GCash,2026-08-01T15:11:07+08:00
ORD-20260801-1162-0370,M-1267,,195.00,24,GCash,2026-08-01T15:15:00+08:00
ORD-20260801-4849-0043,M-1031,SESS-20260801-8035-0339,405.00,60,Cash,2026-08-01T15:20:42+08:00
ORD-20260801-5546-0229,M-1395,SESS-20260801-8798-0134,120.00,15,GCash,2026-08-01T15:24:48+08:00
ORD-20260801-9893-0342,M-1356,,90.00,13,Cash,2026-08-01T15:32:00+08:00
ORD-20260801-9666-0049,M-1677,SESS-20260801-8439-0082,180.00,22,Cash,2026-08-01T15:32:24+08:00
ORD-20260801-1347-0279,M-1534,SESS-20260801-9295-0050,65.00,8,Cash,2026-08-01T15:32:42+08:00
ORD-20260801-3693-0069,M-1272,SESS-20260801-9187-0372,135.00,20,Maya,2026-08-01T15:32:49+08:00
ORD-20260801-1561-0248,M-1276,SESS-20260801-4918-0197,120.00,15,Cash,2026-08-01T15:43:31+08:00
ORD-20260801-4767-0322,M-1478,,65.00,8,GCash,2026-08-01T15:45:00+08:00
ORD-20260801-7223-0149,M-2025,SESS-20260801-6496-0309,150.00,18,Maya,2026-08-01T15:45:37+08:00
ORD-20260801-8492-0252,M-1896,SESS-20260801-8038-0428,120.00,12,Cash,2026-08-01T15:46:08+08:00
ORD-20260801-7168-0136,M-1971,SESS-20260801-6650-0166,90.00,11,GCash,2026-08-01T15:47:39+08:00
