time_id,hour_24,minute_val,day_part_label
0,0,0,Graveyard
1,0,1,Graveyard
2,0,2,Graveyard
3,0,3,Graveyard
4,0,4,Graveyard
5,0,5,Graveyard
6,0,6,Graveyard
7,0,7,Graveyard
8,0,8,Graveyard
9,0,9,Graveyard
10,0,10,Graveyard
11,0,11,Graveyard
12,0,12,Graveyard
13,0,13,Graveyard
14,0,14,Graveyard
15,0,15,Graveyard
16,0,16,Graveyard
17,0,17,Graveyard
18,0,18,Graveyard
19,0,19,Graveyard
20,0,20,Graveyard
21,0,21,Graveyard
22,0,22,Graveyard
23,0,23,Graveyard
24,0,24,Graveyard
25,0,25,Graveyard
26,0,26,Graveyard
27,0,27,Graveyard
28,0,28,Graveyard
29,0,29,Graveyard
30,0,30,Graveyard
31,0,31,Graveyard
32,0,32,Graveyard
33,0,33,Graveyard
34,0,34,Graveyard
35,0,35,Graveyard
36,0,36,Graveyard
37,0,37,Graveyard
38,0,38,Graveyard
39,0,39,Graveyard
40,0,40,Graveyard
41,0,41,Graveyard
42,0,42,Graveyard
43,0,43,Graveyard
44,0,44,Graveyard
45,0,45,Graveyard
46,0,46,Graveyard
47,0,47,Graveyard
48,0,48,Graveyard
49,0,49,Graveyard
50,0,50,Graveyard
51,0,51,Graveyard
52,0,52,Graveyard
53,0,53,Graveyard
54,0,54,Graveyard
55,0,55,Graveyard
56,0,56,Graveyard
57,0,57,Graveyard
58,0,58,Graveyard
59,0,59,Graveyard
100,1,0,Graveyard
101,1,1,Graveyard
102,1,2,Graveyard
103,1,3,Graveyard
104,1,4,Graveyard
105,1,5,Graveyard
106,1,6,Graveyard
107,1,7,Graveyard
108,1,8,Graveyard
109,1,9,Graveyard
110,1,10,Graveyard
111,1,11,Graveyard
112,1,12,Graveyard
113,1,13,Graveyard
114,1,14,Graveyard
115,1,15,Graveyard
116,1,16,Graveyard
117,1,17,Graveyard
118,1,18,Graveyard
119,1,19,Graveyard
120,1,20,Graveyard
121,1,21,Graveyard
122,1,22,Graveyard
123,1,23,Graveyard
124,1,24,Graveyard
125,1,25,Graveyard
126,1,26,Graveyard
127,1,27,Graveyard
128,1,28,Graveyard
129,1,29,Graveyard
130,1,30,Graveyard
131,1,31,Graveyard
132,1,32,Graveyard
133,1,33,Graveyard
134,1,34,Graveyard
135,1,35,Graveyard
136,1,36,Graveyard
137,1,37,Graveyard
138,1,38,Graveyard
139,1,39,Graveyard
140,1,40,Graveyard
141,1,41,Graveyard
142,1,42,Graveyard
143,1,43,Graveyard
144,1,44,Graveyard
145,1,45,Graveyard
146,1,46,Graveyard
147,1,47,Graveyard
148,1,48,Graveyard
149,1,49,Graveyard
150,1,50,Graveyard
151,1,51,Graveyard
152,1,52,Graveyard
153,1,53,Graveyard
154,1,54,Graveyard
155,1,55,Graveyard
156,1,56,Graveyard
157,1,57,Graveyard
158,1,58,Graveyard
159,1,59,Graveyard
200,2,0,Graveyard
201,2,1,Graveyard
202,2,2,Graveyard
203,2,3,Graveyard
204,2,4,Graveyard
205,2,5,Graveyard
206,2,6,Graveyard
207,2,7,Graveyard
208,2,8,Graveyard
209,2,9,Graveyard
210,2,10,Graveyard
211,2,11,Graveyard
212,2,12,Graveyard
213,2,13,Graveyard
214,2,14,Graveyard
215,2,15,Graveyard
216,2,16,Graveyard
217,2,17,Graveyard
218,2,18,Graveyard
219,2,19,Graveyard
220,2,20,Graveyard
221,2,21,Graveyard
222,2,22,Graveyard
223,2,23,Graveyard
224,2,24,Graveyard
225,2,25,Graveyard
226,2,26,Graveyard
227,2,27,Graveyard
228,2,28,Graveyard
229,2,29,Graveyard
230,2,30,Graveyard
231,2,31,Graveyard
232,2,32,Graveyard
233,2,33,Graveyard
234,2,34,Graveyard
235,2,35,Graveyard
236,2,36,Graveyard
237,2,37,Graveyard
238,2,38,Graveyard
239,2,39,Graveyard
240,2,40,Graveyard
241,2,41,Graveyard
242,2,42,Graveyard
243,2,43,Graveyard
244,2,44,Graveyard
245,2,45,Graveyard
246,2,46,Graveyard
247,2,47,Graveyard
248,2,48,Graveyard
249,2,49,Graveyard
250,2,50,Graveyard
251,2,51,Graveyard
252,2,52,Graveyard
253,2,53,Graveyard
254,2,54,Graveyard
255,2,55,Graveyard
256,2,56,Graveyard
257,2,57,Graveyard
258,2,58,Graveyard
259,2,59,Graveyard
300,3,0,Graveyard
301,3,1,Graveyard
302,3,2,Graveyard
303,3,3,Graveyard
304,3,4,Graveyard
305,3,5,Graveyard
306,3,6,Graveyard
307,3,7,Graveyard
308,3,8,Graveyard
309,3,9,Graveyard
310,3,10,Graveyard
311,3,11,Graveyard
312,3,12,Graveyard
313,3,13,Graveyard
314,3,14,Graveyard
315,3,15,Graveyard
316,3,16,Graveyard
317,3,17,Graveyard
318,3,18,Graveyard
319,3,19,Graveyard
320,3,20,Graveyard
321,3,21,Graveyard
322,3,22,Graveyard
323,3,23,Graveyard
324,3,24,Graveyard
325,3,25,Graveyard
326,3,26,Graveyard
327,3,27,Graveyard
328,3,28,Graveyard
329,3,29,Graveyard
330,3,30,Graveyard
331,3,31,Graveyard
332,3,32,Graveyard
333,3,33,Graveyard
334,3,34,Graveyard
335,3,35,Graveyard
336,3,36,Graveyard
337,3,37,Graveyard
338,3,38,Graveyard
339,3,39,Graveyard
340,3,40,Graveyard
341,3,41,Graveyard
342,3,42,Graveyard
343,3,43,Graveyard
344,3,44,Graveyard
345,3,45,Graveyard
346,3,46,Graveyard
347,3,47,Graveyard
348,3,48,Graveyard
349,3,49,Graveyard
350,3,50,Graveyard
351,3,51,Graveyard
352,3,52,Graveyard
353,3,53,Graveyard
354,3,54,Graveyard
355,3,55,Graveyard
356,3,56,Graveyard
357,3,57,Graveyard
358,3,58,Graveyard
359,3,59,Graveyard
400,4,0,Graveyard
401,4,1,Graveyard
402,4,2,Graveyard
403,4,3,Graveyard
404,4,4,Graveyard
405,4,5,Graveyard
406,4,6,Graveyard
407,4,7,Graveyard
408,4,8,Graveyard
409,4,9,Graveyard
410,4,10,Graveyard
411,4,11,Graveyard
412,4,12,Graveyard
413,4,13,Graveyard
414,4,14,Graveyard
415,4,15,Graveyard
416,4,16,Graveyard
417,4,17,Graveyard
418,4,18,Graveyard
419,4,19,Graveyard
420,4,20,Graveyard
421,4,21,Graveyard
422,4,22,Graveyard
423,4,23,Graveyard
424,4,24,Graveyard
425,4,25,Graveyard
426,4,26,Graveyard
427,4,27,Graveyard
428,4,28,Graveyard
429,4,29,Graveyard
430,4,30,Graveyard
431,4,31,Graveyard
432,4,32,Graveyard
433,4,33,Graveyard
434,4,34,Graveyard
435,4,35,Graveyard
436,4,36,Graveyard
437,4,37,Graveyard
438,4,38,Graveyard
439,4,39,Graveyard
440,4,40,Graveyard
441,4,41,Graveyard
442,4,42,Graveyard
443,4,43,Graveyard
444,4,44,Graveyard
445,4,45,Graveyard
446,4,46,Graveyard
447,4,47,Graveyard
448,4,48,Graveyard
449,4,49,Graveyard
450,4,50,Graveyard
451,4,51,Graveyard
452,4,52,Graveyard
453,4,53,Graveyard
454,4,54,Graveyard
455,4,55,Graveyard
456,4,56,Graveyard
457,4,57,Graveyard
458,4,58,Graveyard
459,4,59,Graveyard
500,5,0,Graveyard
501,5,1,Graveyard
502,5,2,Graveyard
503,5,3,Graveyard
504,5,4,Graveyard
505,5,5,Graveyard
506,5,6,Graveyard
507,5,7,Graveyard
508,5,8,Graveyard
509,5,9,Graveyard
510,5,10,Graveyard
511,5,11,Graveyard
512,5,12,Graveyard
513,5,13,Graveyard
514,5,14,Graveyard
515,5,15,Graveyard
516,5,16,Graveyard
517,5,17,Graveyard
518,5,18,Graveyard
519,5,19,Graveyard
520,5,20,Graveyard
521,5,21,Graveyard
522,5,22,Graveyard
523,5,23,Graveyard
524,5,24,Graveyard
525,5,25,Graveyard
526,5,26,Graveyard
527,5,27,Graveyard
528,5,28,Graveyard
529,5,29,Graveyard
530,5,30,Graveyard
531,5,31,Graveyard
532,5,32,Graveyard
533,5,33,Graveyard
534,5,34,Graveyard
535,5,35,Graveyard
536,5,36,Graveyard
537,5,37,Graveyard
538,5,38,Graveyard
539,5,39,Graveyard
540,5,40,Graveyard
541,5,41,Graveyard
542,5,42,Graveyard
543,5,43,Graveyard
544,5,44,Graveyard
545,5,45,Graveyard
546,5,46,Graveyard
547,5,47,Graveyard
548,5,48,Graveyard
549,5,49,Graveyard
550,5,50,Graveyard
551,5,51,Graveyard
552,5,52,Graveyard
553,5,53,Graveyard
554,5,54,Graveyard
555,5,55,Graveyard
556,5,56,Graveyard
557,5,57,Graveyard
558,5,58,Graveyard
559,5,59,Graveyard
600,6,0,Morning
601,6,1,Morning
602,6,2,Morning
603,6,3,Morning
604,6,4,Morning
605,6,5,Morning
606,6,6,Morning
607,6,7,Morning
608,6,8,Morning
609,6,9,Morning
610,6,10,Morning
611,6,11,Morning
612,6,12,Morning
613,6,13,Morning
614,6,14,Morning
615,6,15,Morning
616,6,16,Morning
617,6,17,Morning
618,6,18,Morning
619,6,19,Morning
620,6,20,Morning
621,6,21,Morning
622,6,22,Morning
623,6,23,Morning
624,6,24,Morning
625,6,25,Morning
626,6,26,Morning
627,6,27,Morning
628,6,28,Morning
629,6,29,Morning
630,6,30,Morning
631,6,31,Morning
632,6,32,Morning
633,6,33,Morning
634,6,34,Morning
635,6,35,Morning
636,6,36,Morning
637,6,37,Morning
638,6,38,Morning
639,6,39,Morning
640,6,40,Morning
641,6,41,Morning
642,6,42,Morning
643,6,43,Morning
644,6,44,Morning
645,6,45,Morning
646,6,46,Morning
647,6,47,Morning
648,6,48,Morning
649,6,49,Morning
650,6,50,Morning
651,6,51,Morning
652,6,52,Morning
653,6,53,Morning
654,6,54,Morning
655,6,55,Morning
656,6,56,Morning
657,6,57,Morning
658,6,58,Morning
659,6,59,Morning
700,7,0,Morning
701,7,1,Morning
702,7,2,Morning
703,7,3,Morning
704,7,4,Morning
705,7,5,Morning
706,7,6,Morning
707,7,7,Morning
708,7,8,Morning
709,7,9,Morning
710,7,10,Morning
711,7,11,Morning
712,7,12,Morning
713,7,13,Morning
714,7,14,Morning
715,7,15,Morning
716,7,16,Morning
717,7,17,Morning
718,7,18,Morning
719,7,19,Morning
720,7,20,Morning
721,7,21,Morning
722,7,22,Morning
723,7,23,Morning
724,7,24,Morning
725,7,25,Morning
726,7,26,Morning
727,7,27,Morning
728,7,28,Morning
729,7,29,Morning
730,7,30,Morning
731,7,31,Morning
732,7,32,Morning
733,7,33,Morning
734,7,34,Morning
735,7,35,Morning
736,7,36,Morning
737,7,37,Morning
738,7,38,Morning
739,7,39,Morning
740,7,40,Morning
741,7,41,Morning
742,7,42,Morning
743,7,43,Morning
744,7,44,Morning
745,7,45,Morning
746,7,46,Morning
747,7,47,Morning
748,7,48,Morning
749,7,49,Morning
750,7,50,Morning
751,7,51,Morning
752,7,52,Morning
753,7,53,Morning
754,7,54,Morning
755,7,55,Morning
756,7,56,Morning
757,7,57,Morning
758,7,58,Morning
759,7,59,Morning
800,8,0,Morning
