rental_id,member_id,workstation_id,session_start,session_end,duration_hours,base_hourly_rate,member_tier_applied,tier_discount_pct,final_hourly_rate,gross_rental_amount,points_redeemed,points_credit_value,net_amount_paid,points_accrued,payment_method
SESS-20260716-7129-0118,M-1713,PC-029,2026-07-16T01:35:00+08:00,2026-07-16T03:35:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,GCash
SESS-20260716-9701-0013,M-1801,PC-159,2026-07-16T02:00:00+08:00,2026-07-16T03:00:00+08:00,1.00,120.00,Silver,0.10,108.00,108.00,0,0.00,108.00,13,GCash
SESS-20260716-2061-0091,M-1040,PC-005,2026-07-16T02:00:00+08:00,2026-07-16T07:00:00+08:00,5.00,50.00,Silver,0.10,45.00,225.00,0,0.00,225.00,28,GCash
SESS-20260716-1474-0090,M-1115,PC-115,2026-07-16T02:30:00+08:00,2026-07-16T04:30:00+08:00,2.00,80.00,Standard,0.00,80.00,160.00,0,0.00,160.00,16,GCash
SESS-20260716-7060-0361,M-1011,PC-078,2026-07-16T02:30:00+08:00,2026-07-16T07:30:00+08:00,5.00,50.00,Silver,0.10,45.00,225.00,0,0.00,225.00,28,Maya
SESS-20260716-4189-0112,M-1157,PC-100,2026-07-16T03:15:00+08:00,2026-07-16T11:15:00+08:00,8.00,50.00,Silver,0.10,45.00,360.00,100,50.00,310.00,38,Cash
SESS-20260716-7635-0249,M-1743,PC-151,2026-07-16T04:15:00+08:00,2026-07-16T12:15:00+08:00,8.00,120.00,Silver,0.10,108.00,864.00,0,0.00,864.00,108,Cash
SESS-20260716-2578-0343,M-1658,PC-003,2026-07-16T05:00:00+08:00,2026-07-16T07:00:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,Cash
SESS-20260716-6988-0149,M-1837,PC-047,2026-07-16T07:15:00+08:00,2026-07-16T08:15:00+08:00,1.00,50.00,Standard,0.00,50.00,50.00,0,0.00,50.00,5,GCash
SESS-20260716-3807-0010,M-1590,PC-002,2026-07-16T08:00:00+08:00,2026-07-16T11:00:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,0,0.00,135.00,16,Maya
SESS-20260716-1826-0040,M-1195,PC-011,2026-07-16T08:00:00+08:00,2026-07-16T13:00:00+08:00,5.00,50.00,Silver,0.10,45.00,225.00,0,0.00,225.00,28,GCash
SESS-20260716-2428-0106,M-2091,PC-070,2026-07-16T08:00:00+08:00,2026-07-16T09:00:00+08:00,1.00,50.00,Standard,0.00,50.00,50.00,0,0.00,50.00,5,Cash
SESS-20260716-2723-0054,M-1559,PC-021,2026-07-16T08:15:00+08:00,2026-07-16T11:15:00+08:00,3.00,50.00,Standard,0.00,50.00,150.00,0,0.00,150.00,15,Cash
SESS-20260716-7395-0124,M-1219,PC-030,2026-07-16T08:15:00+08:00,2026-07-16T10:15:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,GCash
SESS-20260716-1602-0001,M-1718,PC-103,2026-07-16T08:30:00+08:00,2026-07-16T09:30:00+08:00,1.00,80.00,Gold,0.20,64.00,64.00,0,0.00,64.00,9,Maya
SESS-20260716-9883-0138,M-1325,PC-056,2026-07-16T08:30:00+08:00,2026-07-16T10:30:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,Cash
SESS-20260716-1550-0076,M-1820,PC-163,2026-07-16T08:45:00+08:00,2026-07-16T13:45:00+08:00,5.00,120.00,Silver,0.10,108.00,540.00,0,0.00,540.00,67,Cash
SESS-20260716-8984-0085,M-1897,PC-037,2026-07-16T08:45:00+08:00,2026-07-16T10:45:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,Maya
SESS-20260716-3361-0478,M-1517,PC-072,2026-07-16T08:45:00+08:00,2026-07-16T10:45:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,100,50.00,50.00,5,Cash
SESS-20260716-7172-0065,M-1249,PC-161,2026-07-16T09:00:00+08:00,2026-07-16T14:00:00+08:00,5.00,120.00,Silver,0.10,108.00,540.00,0,0.00,540.00,67,GCash
SESS-20260716-1181-0111,M-1799,PC-175,2026-07-16T09:00:00+08:00,2026-07-16T12:00:00+08:00,3.00,120.00,Silver,0.10,108.00,324.00,0,0.00,324.00,40,Maya
SESS-20260716-1293-0034,M-2002,PC-136,2026-07-16T09:15:00+08:00,2026-07-16T12:15:00+08:00,3.00,80.00,Standard,0.00,80.00,240.00,0,0.00,240.00,24,GCash
SESS-20260716-6255-0179,M-2018,PC-001,2026-07-16T09:15:00+08:00,2026-07-16T10:15:00+08:00,1.00,50.00,Standard,0.00,50.00,50.00,0,0.00,50.00,5,GCash
SESS-20260716-7249-0116,M-1305,PC-153,2026-07-16T09:30:00+08:00,2026-07-16T11:30:00+08:00,2.00,120.00,Standard,0.00,120.00,240.00,0,0.00,240.00,24,GCash
SESS-20260716-9811-0158,M-1466,PC-110,2026-07-16T09:30:00+08:00,2026-07-16T14:30:00+08:00,5.00,80.00,Gold,0.20,64.00,320.00,0,0.00,320.00,48,GCash
SESS-20260716-8384-0049,M-1236,PC-089,2026-07-16T09:45:00+08:00,2026-07-16T14:45:00+08:00,5.00,50.00,Silver,0.10,45.00,225.00,0,0.00,225.00,28,GCash
SESS-20260716-8929-0063,M-2071,PC-129,2026-07-16T09:45:00+08:00,2026-07-16T11:45:00+08:00,2.00,80.00,Standard,0.00,80.00,160.00,0,0.00,160.00,16,Maya
SESS-20260716-8198-0029,M-1716,PC-092,2026-07-16T10:15:00+08:00,2026-07-16T11:15:00+08:00,1.00,50.00,Silver,0.10,45.00,45.00,0,0.00,45.00,5,Credit Card
SESS-20260716-4577-0180,M-2186,PC-001,2026-07-16T10:30:00+08:00,2026-07-16T12:30:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,GCash
SESS-20260716-8766-0225,M-1596,PC-118,2026-07-16T10:30:00+08:00,2026-07-16T11:30:00+08:00,1.00,80.00,Silver,0.10,72.00,72.00,0,0.00,72.00,9,Cash
