rental_id,member_id,workstation_id,session_start,session_end,duration_hours,base_hourly_rate,member_tier_applied,tier_discount_pct,final_hourly_rate,gross_rental_amount,points_redeemed,points_credit_value,net_amount_paid,points_accrued,payment_method
SESS-20260827-7394-0185,M-1835,PC-101,2026-08-27T00:50:00+08:00,2026-08-27T02:50:00+08:00,2.00,80.00,Silver,0.10,72.00,144.00,0,0.00,144.00,18,Credit Card
SESS-20260827-9675-0106,M-1088,PC-064,2026-08-27T00:55:00+08:00,2026-08-27T08:55:00+08:00,8.00,50.00,Gold,0.20,40.00,320.00,0,0.00,320.00,48,Cash
SESS-20260827-6891-0006,M-1299,PC-119,2026-08-27T01:35:00+08:00,2026-08-27T02:35:00+08:00,1.00,80.00,Silver,0.10,72.00,72.00,0,0.00,72.00,9,Cash
SESS-20260827-2067-0386,M-2146,PC-084,2026-08-27T02:55:00+08:00,2026-08-27T03:55:00+08:00,1.00,50.00,Silver,0.10,45.00,45.00,0,0.00,45.00,5,Maya
SESS-20260827-5030-0117,M-1089,PC-161,2026-08-27T04:15:00+08:00,2026-08-27T06:15:00+08:00,2.00,120.00,Silver,0.10,108.00,216.00,0,0.00,216.00,27,Cash
SESS-20260827-8325-0121,M-1694,PC-009,2026-08-27T04:15:00+08:00,2026-08-27T06:15:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,GCash
SESS-20260827-9011-0215,M-1170,PC-033,2026-08-27T05:10:00+08:00,2026-08-27T08:10:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,0,0.00,135.00,16,Maya
SESS-20260827-1648-0070,M-1427,PC-116,2026-08-27T05:30:00+08:00,2026-08-27T07:30:00+08:00,2.00,80.00,Silver,0.10,72.00,144.00,100,50.00,94.00,11,Maya
SESS-20260827-5606-0048,M-1891,PC-054,2026-08-27T06:30:00+08:00,2026-08-27T11:30:00+08:00,5.00,50.00,Silver,0.10,45.00,225.00,0,0.00,225.00,28,Cash
SESS-20260827-4236-0096,M-1697,PC-013,2026-08-27T06:30:00+08:00,2026-08-27T09:30:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,0,0.00,135.00,16,Credit Card
SESS-20260827-9603-0299,M-1736,PC-098,2026-08-27T07:00:00+08:00,2026-08-27T09:00:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,GCash
SESS-20260827-6032-0071,M-1302,PC-065,2026-08-27T07:15:00+08:00,2026-08-27T15:15:00+08:00,8.00,50.00,Silver,0.10,45.00,360.00,0,0.00,360.00,45,Credit Card
SESS-20260827-1804-0180,M-1032,PC-136,2026-08-27T07:45:00+08:00,2026-08-27T08:45:00+08:00,1.00,80.00,Silver,0.10,72.00,72.00,0,0.00,72.00,9,Cash
SESS-20260827-5457-0123,M-1270,PC-133,2026-08-27T08:30:00+08:00,2026-08-27T10:30:00+08:00,2.00,80.00,Gold,0.20,64.00,128.00,0,0.00,128.00,19,Credit Card
SESS-20260827-4959-0334,M-1695,PC-094,2026-08-27T08:30:00+08:00,2026-08-27T10:30:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,Credit Card
SESS-20260827-3637-0435,M-1996,PC-084,2026-08-27T08:30:00+08:00,2026-08-27T09:30:00+08:00,1.00,50.00,Standard,0.00,50.00,50.00,0,0.00,50.00,5,Cash
SESS-20260827-5395-0379,M-1831,PC-136,2026-08-27T08:55:00+08:00,2026-08-27T10:55:00+08:00,2.00,80.00,Silver,0.10,72.00,144.00,0,0.00,144.00,18,Cash
SESS-20260827-7358-0051,M-1245,PC-035,2026-08-27T09:45:00+08:00,2026-08-27T12:45:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,0,0.00,135.00,16,GCash
SESS-20260827-8346-0065,M-1699,PC-087,2026-08-27T09:45:00+08:00,2026-08-27T11:45:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,GCash
SESS-20260827-2987-0133,M-1252,PC-137,2026-08-27T09:45:00+08:00,2026-08-27T10:45:00+08:00,1.00,80.00,Gold,0.20,64.00,64.00,100,50.00,14.00,2,GCash
SESS-20260827-7315-0292,M-2152,PC-071,2026-08-27T10:00:00+08:00,2026-08-27T15:00:00+08:00,5.00,50.00,Silver,0.10,45.00,225.00,0,0.00,225.00,28,GCash
SESS-20260827-6591-0044,M-1531,PC-032,2026-08-27T10:15:00+08:00,2026-08-27T13:15:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,200,100.00,35.00,4,Maya
SESS-20260827-5759-0205,M-1220,PC-162,2026-08-27T10:15:00+08:00,2026-08-27T12:15:00+08:00,2.00,120.00,Gold,0.20,96.00,192.00,0,0.00,192.00,28,GCash
SESS-20260827-4465-0449,M-2001,PC-084,2026-08-27T10:30:00+08:00,2026-08-27T12:30:00+08:00,2.00,50.00,Standard,0.00,50.00,100.00,0,0.00,100.00,10,GCash
SESS-20260827-1996-0014,M-1294,PC-153,2026-08-27T10:45:00+08:00,2026-08-27T12:45:00+08:00,2.00,120.00,Silver,0.10,108.00,216.00,0,0.00,216.00,27,Maya
SESS-20260827-2810-0003,M-1349,PC-004,2026-08-27T11:00:00+08:00,2026-08-27T13:00:00+08:00,2.00,50.00,Gold,0.20,40.00,80.00,0,0.00,80.00,12,GCash
SESS-20260827-3919-0012,M-1406,PC-038,2026-08-27T11:00:00+08:00,2026-08-27T13:00:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,Cash
SESS-20260827-5770-0124,M-1852,PC-079,2026-08-27T11:15:00+08:00,2026-08-27T12:15:00+08:00,1.00,50.00,Standard,0.00,50.00,50.00,0,0.00,50.00,5,Cash
SESS-20260827-6254-0029,M-1929,PC-171,2026-08-27T11:30:00+08:00,2026-08-27T13:30:00+08:00,2.00,120.00,Standard,0.00,120.00,240.00,0,0.00,240.00,24,Cash
SESS-20260827-5011-0118,M-2068,PC-154,2026-08-27T11:30:00+08:00,2026-08-27T13:30:00+08:00,2.00,120.00,Silver,0.10,108.00,216.00,0,0.00,216.00,27,GCash
SESS-20260827-6905-0120,M-2131,PC-113,2026-08-27T11:30:00+08:00,2026-08-27T13:30:00+08:00,2.00,80.00,Standard,0.00,80.00,160.00,0,0.00,160.00,16,Credit Card
SESS-20260827-2937-0128,M-1356,PC-158,2026-08-27T11:45:00+08:00,2026-08-27T12:45:00+08:00,1.00,120.00,Gold,0.20,96.00,96.00,0,0.00,96.00,14,Cash
SESS-20260827-4654-0201,M-1033,PC-116,2026-08-27T12:00:00+08:00,2026-08-27T14:00:00+08:00,2.00,80.00,Silver,0.10,72.00,144.00,200,100.00,44.00,5,GCash
SESS-20260827-6352-0254,M-1477,PC-028,2026-08-27T12:00:00+08:00,2026-08-27T15:00:00+08:00,3.00,50.00,Silver,0.10,45.00,135.00,0,0.00,135.00,16,GCash
SESS-20260827-1202-0067,M-1998,PC-102,2026-08-27T12:15:00+08:00,2026-08-27T14:15:00+08:00,2.00,80.00,Silver,0.10,72.00,144.00,0,0.00,144.00,18,Cash
SESS-20260827-8182-0402,M-1715,PC-062,2026-08-27T12:15:00+08:00,2026-08-27T14:15:00+08:00,2.00,50.00,Silver,0.10,45.00,90.00,0,0.00,90.00,11,Maya
SESS-20260827-9689-0162,M-1125,PC-013,2026-08-27T12:45:00+08:00,2026-08-27T14:45:00+08:00,2.00,50.00,Gold,0.20,40.00,80.00,0,0.00,80.00,12,GCash
SESS-20260827-8023-0055,M-1797,PC-016,2026-08-27T13:00:00+08:00,2026-08-27T18:00:00+08:00,5.00,50.00,Silver,0.10,45.00,225.00,0,0.00,225.00,28,GCash
SESS-20260827-9065-0109,M-1985,PC-110,2026-08-27T13:00:00+08:00,2026-08-27T18:00:00+08:00,5.00,80.00,Standard,0.00,80.00,400.00,0,0.00,400.00,40,GCash
SESS-20260827-5620-0366,M-1581,PC-004,2026-08-27T13:10:00+08:00,2026-08-27T15:10:00+08:00,2.00,50.00,Gold,0.20,40.00,80.00,0,0.00,80.00,12,GCash
